id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,281.932,"NABIMan",R,26,88,140,2.392,0.953,0.012,1.761,0.09,1.429,-36.259,25.003,2,0,76.376,-184.65,13.261,0,0,1,0,2,R,"Ayu_Yua",190,86,0.453,3,91,283.024,131,44,46,57,26,128,93,-40.795,36.76,-0.13,0.019,-0.045,0,0.145,-0.224,-36.519,0,"AI",0,-17.512,0,"Yaksok~",-18.797,-50.103,98,"si_ho",-11.054,-66.49,0,"",0,0,0,"Rite_",9.319,-71.884,0,"AI",40.902,-90.652,0,"AI",0,-109.843,0,"AI",-40.802,-90.552,0,283.051,-0.684,-20.729,0,0,"",0,0,0,0,,,,,3,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,2,312.53,"NABIMan",R,27,76,128,3.584,0.642,0.274,1.919,1.324,1.924,-36.664,54.983,3,0,91.382,-136.88,-0.142,0.283,-20.394,0,1,4,R,"-라후이-",190,86,0.5,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,-37.044,0,"AI",-0.026,-18.221,0,"Yaksok~",-18.463,-49.124,0,"si_ho",-10.947,-66.349,0,"",0,0,0,"Rite_",9.706,-72.558,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,0,6
3,1,1,0,0,0,0,1,1,0,0,4,255,255,2,336.102,"NABIMan",R,26,90,140,-2.422,-1.907,-0.179,1.487,-1.146,0.242,-36.3,5.312,4,0,108.208,-200,32.143,-0.468,-17.903,1,2,0,L,"あいくんだよー『아이 군』",190,80,0.4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093,-37.797,0,"AI",0.037,-17.437,0,"Yaksok~",-18.481,-46.681,0,"si_ho",-10.984,-66.383,0,"",0,0,0,"Rite_",10.495,-70.694,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
4,1,1,0,0,0,1,1,1,0,0,4,255,255,3,351.792,"NABIMan",R,26,86,140,-1.649,-1.327,-0.11,1.6,-0.792,0.637,-36.209,7.424,4,0,62.56,-161.992,30.409,-0.324,-15.71,1,2,0,L,"あいくんだよー『아이 군』",190,80,0.4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,-37.475,0,"AI",0.037,-17.434,0,"Yaksok~",-18.549,-43.772,0,"si_ho",-10.673,-66.633,0,"",0,0,0,"Rite_",10.035,-66.205,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
5,1,1,0,0,0,1,1,1,0,0,4,255,255,4,368.187,"NABIMan",R,10,79,120,2.483,0.234,0.26,2.016,1.073,2.219,-36.602,50.198,1,0,0,400,9.254,0.541,-13.815,0,2,0,L,"あいくんだよー『아이 군』",190,80,0.4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,-37.449,0,"AI",0.016,-17.516,0,"Yaksok~",-19.254,-45.86,0,"si_ho",-10.509,-66.646,0,"",0,0,0,"Rite_",9.526,-64.755,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
6,1,1,0,0,2,1,1,1,0,0,4,255,255,5,379.882,"NABIMan",R,10,88,128,0.496,-0.854,0.022,1.775,0.215,1.466,-36.368,23.045,2,0,0,400,26.642,0,0,1,2,0,L,"あいくんだよー『아이 군』",190,80,0.4,3,91,380.916,255,160,145,116,78,145,103,-30,-21.779,0.93,0.077,-0.09,0,0.119,-0.088,-36.395,0,"AI",0,-17.512,0,"Yaksok~",-18.524,-47.973,0,"si_ho",-10.487,-66.655,85,"",0,0,0,"Rite_",11.157,-65.271,85,"AI",40.902,-90.652,0,"AI",0,-109.843,0,"AI",-40.802,-90.552,0,380.962,0.476,-20.785,0,0,"",0,0,1,2,,387.564,,,13,2
7,1,1,0,0,0,0,2,1,0,0,0,255,255,6,405.044,"NABIMan",R,0,78,128,4.11,1.041,0.363,1.997,1.687,2.281,-36.568,50.884,3,0,0,13.591,7.872,0.23,-20.91,0,0,2,R,"Ayu_Yua",190,86,0.453,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322,-37.369,0,"AI",-0.197,-19.445,0,"Yaksok~",-18.913,-45.629,87,"si_ho",-10.912,-66.965,0,"",0,0,0,"Rite_",10.296,-65.589,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,0,6
8,1,1,0,0,0,1,2,1,0,0,0,255,255,7,420.701,"NABIMan",R,11,72,120,3.683,1.738,0.379,2.103,1.558,2.906,-36.819,64.607,3,0,-5.71,185.956,8.835,0.365,-21.062,0,0,2,R,"Ayu_Yua",190,86,0.453,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,-37.416,0,"AI",0.027,-19.672,0,"Yaksok~",-18.451,-45.753,0,"si_ho",-9.914,-66.688,0,"",0,0,0,"Rite_",10.219,-67.378,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,0,6
9,1,1,0,0,0,0,2,1,1,0,2,0,255,9,444.601,"NABIMan",R,10,88,128,-1.9,-1.827,-0.106,1.652,-0.823,0.836,-36.292,7.794,2,0,0,400,37.447,0,0,0,1,4,R,"-라후이-",190,86,0.5,3,91,445.472,187,127,68,58,31,139,111,-30,42.514,0.89,-0.059,-0.151,0,0.174,0.013,-36.65,0,"AI",0,-17.512,0,"Yaksok~",-17.192,-46.09,105,"si_ho",-6.72,-68.416,94,"",0,0,0,"Rite_",10.524,-66.565,0,"AI",40.901,-90.651,0,"AI",0,-109.841,0,"AI",-40.801,-90.551,0,445.373,-0.573,-19.816,0,0,"",0,0,0,0,,452.246,451.979,458.423,11,2
10,1,1,0,0,0,0,2,1,0,0,2,255,255,9,506.641,"NABIMan",R,27,93,140,-1.856,-0.703,-0.129,1.681,-0.932,1.039,-36.238,12.237,1,0,100.696,-149.633,22.915,-0.347,-12.768,0,2,0,L,"あいくんだよー『아이 군』",190,80,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,-37.013,0,"AI",0.04,-17.432,0,"Yaksok~",-19.677,-46.39,94,"si_ho",-8.35,-67.797,0,"",0,0,0,"Rite_",13.226,-64.267,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,508.947,529.004,519.879,0,2
11,1,1,0,0,1,0,2,1,0,0,2,255,255,10,538.899,"NABIMan",R,27,89,140,-0.744,-1.005,-0.055,1.658,-0.437,0.851,-36.23,10.233,4,0,88.445,-147.281,20.211,-0.113,-14.241,1,2,0,L,"あいくんだよー『아이 군』",190,80,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,-37.336,0,"AI",0.04,-17.431,0,"Yaksok~",-19.467,-45.8,0,"si_ho",-6.751,-66.533,0,"",0,0,0,"Rite_",11.309,-62.092,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,541.067,,,0,0
12,1,1,0,0,1,1,2,1,0,0,2,255,255,12,553.81,"NABIMan",R,0,88,139,-1.419,-1.54,-0.08,1.615,-0.615,0.65,-36.267,6.116,2,0,0,16.525,28.681,0,0,1,2,0,L,"あいくんだよー『아이 군』",190,80,0.4,3,57,554.739,205,153,134,112,78,145,116,-30,29.545,0.84,0.093,-0.125,0.048,0.15,0.106,-36.843,0,"AI",0,-17.512,0,"Yaksok~",-18.198,-47.433,0,"si_ho",-7.616,-68.095,0,"",0,0,0,"Rite_",11.759,-62.596,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,554.718,-0.549,-19.986,0,0,"",0,0,0,0,,,558.635,,6,2
13,1,0,1,0,0,0,0,0,0,0,255,255,255,0,622.985,"あいくんだよー『아이 군』",R,34,80,131,-2.721,-2.292,-0.134,1.46,-1.281,0.326,-36.606,17.772,4,0,70.449,-34.522,0,-0.532,-18.741,1,0,5,R,"Rite_",161.8,95,0.5,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154,-37.931,0,"AI",0.037,-17.435,0,"Ayu_Yua",-22.513,-48.688,0,"하루（Haru）",-12.312,-59.112,0,"-라후이-",18.687,-43.25,0,"AI",12.401,-58.201,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
14,1,0,1,0,0,1,0,0,0,0,255,255,255,1,637.549,"あいくんだよー『아이 군』",R,2,51,99,-0.738,-1.458,0.086,1.347,0.37,0.326,-36.883,46.225,2,0,-316.096,-355.874,0,0,0,0,0,5,R,"Rite_",161.8,95,0.5,2,44,638.849,65,57,49,58,27,81,75,19.312,40.037,0.57,0.035,-0.035,0.238,0.353,-0.312,-37.899,0,"AI",-0.214,-18.189,0,"Ayu_Yua",-21.841,-48.299,85,"하루（Haru）",-15.761,-63.162,0,"-라후이-",18.638,-43.274,0,"AI",11.732,-57.023,0,"AI",40.903,-90.653,0,"AI",0,-109.843,0,"AI",-40.803,-90.553,0,0,0,0,0,0,"",0,0,0,0,,,,,5,1
15,1,0,1,0,0,0,1,0,0,0,255,255,255,2,656.376,"あいくんだよー『아이 군』",R,34,85,139,-3.9,-1.926,-0.333,1.402,-1.751,0.492,-36.503,11.316,1,0,53.641,4.892,0,-0.772,-17.945,0,1,3,R,"si_ho",175.3,95,0.5,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.279,-37.842,0,"AI",0.036,-17.436,0,"Ayu_Yua",-22.63,-48.533,0,"하루（Haru）",-15.102,-64.829,0,"-라후이-",19.003,-43.399,0,"AI",12.401,-58.201,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
16,1,0,1,0,1,0,1,0,0,0,255,255,255,3,672.04,"あいくんだよー『아이 군』",R,0,77,128,0.182,-0.643,0.097,1.645,0.031,1.188,-36.666,38.033,2,0,30.786,-19.35,0,0,0,1,1,3,R,"si_ho",175.3,95,0.5,0,91,673.154,189,69,118,111,26,145,126,-0.125,-32.034,0.73,-0.062,-0.06,0,0.869,-0.355,-37.638,0,"AI",0,-17.512,0,"Ayu_Yua",-22.677,-48.577,0,"하루（Haru）",-14.422,-63.559,0,"-라후이-",18.219,-44.137,0,"AI",12.086,-56.747,0,"AI",40.902,-90.652,0,"AI",0,-109.843,0,"AI",-40.802,-90.552,0,675.918,39.082,-82.114,0,0,"",0,0,1,2,,,,,13,2
17,1,0,1,0,0,0,1,1,0,0,11,255,255,4,708.566,"あいくんだよー『아이 군』",R,6,56,105,-0.659,0.753,-0.231,1.87,-0.968,2.044,-36.861,15.445,0,0,390.053,0,0,0.513,-11.225,0,2,2,R,"Yaksok~",172.8,90.259,0.451,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.098,-37.701,0,"AI",0.002,-17.503,0,"Ayu_Yua",-20.162,-44.753,0,"하루（Haru）",-12.907,-62.069,0,"-라후이-",19.05,-44.354,0,"AI",12.401,-58.201,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
18,1,0,1,0,0,1,1,1,0,0,11,255,255,5,721.192,"あいくんだよー『아이 군』",R,34,67,122,2.398,-0.452,0.247,1.815,0.873,1.274,-37.052,63.452,2,0,94.81,-47.127,0,0,0,1,2,2,R,"Yaksok~",172.8,90.259,0.451,3,91,722.104,128,144,85,104,45,138,86,-86.959,-85.281,-0.43,-0.109,-0.018,0,0.404,-0.311,-37.572,0,"AI",0,-17.512,0,"Ayu_Yua",-20.875,-46.029,0,"하루（Haru）",-12.395,-62.455,0,"-라후이-",19.462,-45.901,0,"AI",12.897,-56.824,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,722.118,0.882,-19.739,0,0,"",0,0,0,0,,,,,4,3
19,1,0,1,0,0,2,1,1,0,0,11,255,255,6,737.549,"あいくんだよー『아이 군』",R,6,57,104,1.683,-2.173,-0.212,1.668,-0.61,1.164,-36.659,15.175,2,0,436.793,0,0,0,0,1,2,2,R,"Yaksok~",172.8,90.259,0.451,3,91,738.508,166,121,109,105,7,145,90,-18.148,-35.348,-0.39,-0.119,-0.051,0,0.326,-0.323,-37.747,0,"AI",0,-17.512,0,"Ayu_Yua",-20.472,-46.093,0,"하루（Haru）",-9.287,-61.439,103,"-라후이-",18.745,-45.103,107,"AI",12.682,-57.65,0,"AI",40.902,-90.652,0,"AI",0,-109.843,0,"AI",-40.802,-90.552,0,738.595,1.352,-21.946,0,0,"",0,0,0,0,,742.651,,,15,2
20,1,0,1,0,0,0,2,1,0,0,11,255,255,7,773.709,"あいくんだよー『아이 군』",R,0,62,118,1.447,-0.879,-0.153,1.713,0.634,1.051,-36.674,16.925,0,0,0,0,0,0.41,-14.928,0,3,0,L,"NABIMan",190,81.885,0.496,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266,-37.757,0,"AI",0.038,-17.434,0,"Ayu_Yua",-21.437,-46.983,0,"하루（Haru）",-10.842,-61.301,0,"-라후이-",19.294,-46.283,0,"AI",12.401,-58.201,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
21,1,0,1,0,0,1,2,1,0,0,11,255,255,8,793.688,"あいくんだよー『아이 군』",R,34,72,125,1.552,0.235,0.084,1.775,0.558,1.688,-36.794,38.446,4,0,71.153,-61.964,0,0.549,-9.28,1,3,0,L,"NABIMan",190,81.885,0.496,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.263,-37.869,0,"AI",0.017,-17.516,0,"Ayu_Yua",-22.027,-47.269,0,"하루（Haru）",-10.377,-62.06,0,"-라후이-",19.182,-47.064,0,"AI",12.401,-58.201,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
22,1,0,1,0,0,2,2,1,0,0,11,255,255,9,806.833,"あいくんだよー『아이 군』",R,37,43,104,0.031,-0.693,-0.047,1.542,-0.011,1.275,-36.646,32.62,2,0,13.12,68.733,0,0,0,1,3,0,L,"NABIMan",190,81.885,0.496,3,91,807.723,255,79,91,120,34,145,111,25.533,21.794,0.08,0.094,-0.093,0,0.542,-0.519,-37.178,120,"AI",0,-17.512,0,"Ayu_Yua",-22.117,-48.193,0,"하루（Haru）",-10.873,-61.893,92,"-라후이-",18.482,-44.88,111,"AI",12.154,-57.336,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,815.362,-17.793,-131.517,0,0,"",0,0,1,0,,813.587,818.945,,14,2
