id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,191.154,"_Chun",L,26,88,140,-3.093,0.423,-0.696,2.025,-1.283,1.591,-36.663,55.562,79,21,0,2,-36.244,-200,-4.268,0,0,0,"濃いめのラー油","Pring__","SUGUN","HANA_ARASHI","시즈카_Shizuka","Penguin_iDOL","Yes_Man_","CoalCat","CAT tourniquet",6,L,"濃いめのラー油",160,80,0.8,3,35,W,Y,1,192.205,252,9,102,21,21,,140,122,-15.006,29.461,-0.515,0.935,-20.202,0.32,0,0.115,-205.579,-89.726,165.222,190.88,-2.286,-23.343,192.053,2,-15.083,0.492,-46.08,0,1,,,,,,,,,,,,,,,196.018,0,,147,0,,,,,,,,,,,195.372,2,,,,,,,-0.057,-37.688,0.034,-16.952,-18.608,-46.513,-14.48,-64.01,16.916,-43.155,13.84,-64.496,40.93,-90.677,6.59,-111.304,-48.475,-92.34,-0.755,-37.093,,"소솨소솨",-0.055,-16.989,,"MODECO",-18.412,-46.763,83,"芝レイナ",-14.465,-64.004,,"인생최패망자",16.631,-42.799,,"_송글_",14.057,-64.326,,"AI",40.9,-90.65,,"うよすま",5.965,-111.597,,"Sabo_10",-48.493,-92.332,,201.192,-0.082,-38.013,,,,193.509,-15.986,-47.169,,,,,,,,,,,,,,,,,,,,,,,,,200.119,-17.448,-40.363,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"MODECO",,,,3,""
2,,1,1,0,0,0,0,1,0,0,0,255,255,255,1,211.505,"_Chun",L,10,95,128,0.785,-0.555,-0.355,2.012,0.352,1.665,-36.663,40.011,74,26,0,0,0,400,-20.019,0,0,1,"=","=","=","=","=","=","=","=","=",3,L,"Pring__",175.1,90.089,0.448,,34,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,-37.626,-0.006,-17.064,-18.624,-46.739,-13.516,-64.544,20.111,-47.114,14.287,-64.567,40.907,-90.657,6.267,-118.28,-46.83,-91.165,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,215.134,-0.22,-37.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,0,1,1,0,0,0,255,255,255,2,223.854,"_Chun",L,0,75,126,-1.114,0.822,-0.507,2.07,-0.47,2.057,-36.663,67.927,76,24,0,2,0,0,-1.113,0,0,1,"=","=","=","=","=","=","=","=","=",3,L,"Pring__",175.1,90.089,0.448,5,34,W,Y,1,224.738,212,182,78,98,73,,145,129,26.426,30.433,-0.219,1.266,-21.126,0.39,0,0.425,506.326,-268.571,-148.208,229.079,-56.127,-129.377,,,,,,0,0,,230.215,234.499,239.326,244.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151,-37.472,-0.008,-17.038,-18.867,-46.947,-13.505,-64.559,20.236,-47.266,13.611,-64.495,40.907,-90.657,2.611,-116.778,-47.579,-92.046,0.094,-36.899,,"소솨소솨",-0.088,-17.061,,"MODECO",-18.742,-46.869,,"芝レイナ",-13.53,-64.54,,"인생최패망자",20.007,-46.929,,"_송글_",13.636,-64.51,,"AI",40.9,-90.65,,"うよすま",4.358,-115.975,,"Sabo_10",-48.177,-95.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",4,29.37,29.37,15.253,0,0,1,37.613,37.613,63.698,37.613,0,29.34,0,"",234.499,239.326,,0,""
4,,1,1,1,0,0,0,1,0,0,0,255,255,255,3,263.155,"_Chun",L,27,73,125,-1.082,1.147,-0.538,2.153,-0.357,2.188,-36.663,68.89,76,24,0,2,-71.45,-124.27,-0.598,0,0,2,"=","=","=","=","=","=","=","=","=",2,R,"SUGUN",190,82.092,0.496,3,34,W,Y,1,264.255,255,71,131,56,4,,145,87,107.955,-34.307,-0.201,1.461,-20.47,1,0,0.383,371.842,285.305,357.458,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,-37.746,0.008,-17.07,-20.541,-45.491,-16.316,-62.956,18.193,-47.902,14.141,-64.229,40.915,-90.664,-6.896,-120.835,-47.564,-102.34,-0.49,-37.013,,"소솨소솨",-0.033,-17.093,,"MODECO",-20.278,-45.55,,"芝レイナ",-16.331,-62.973,,"인생최패망자",18.183,-47.896,,"_송글_",13.848,-64.031,,"AI",40.9,-90.65,,"うよすま",-6.766,-120.874,,"Sabo_10",-47.395,-102.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,1,0,0,1,1,0,0,0,255,255,255,4,297.895,"_Chun",L,26,90,140,1.543,0.608,-0.295,2.054,0.631,1.802,-36.663,43.32,79,21,0,2,37.205,-200,-13.583,0,0,2,"=","=","=","=","=","=","=","=","=",2,R,"SUGUN",190,82.092,0.496,5,53,W,Y,1,298.934,237,42,129,33,3,,145,110,5.205,40.495,0.229,1.298,-20.258,0.02,0,0.377,577.747,160.201,23.317,,,,298.773,2,-20.165,2.391,-43.628,0,0,,,,,,,,,,,,,,,300.334,2,,451,0,,,,,,,,,,,,,,,,,,,0.028,-37.779,-0.032,-17.097,-20.46,-45.624,-15.682,-63.09,18.801,-48.811,13.999,-64.103,45.074,-90.624,-9.681,-122.105,-50.253,-96.416,-0.423,-36.995,,"소솨소솨",-0.075,-17.057,,"MODECO",-20.438,-45.625,83,"芝レイナ",-15.677,-63.075,,"인생최패망자",18.529,-48.406,,"_송글_",13.989,-63.999,,"펜케이크",45.068,-90.629,,"うよすま",-9.683,-122.096,,"Sabo_10",-50.125,-96.487,,304.424,-0.604,-38.283,,,,300.344,-20.783,-43.796,,,,,,,,,,,,,,,,,,,,,,,,,303.383,-17.093,-41.45,,,,,,,,,,,,,,,,,,,"",1,38.314,38.314,1.694,0,0,1,5.205,5.205,6.643,5.205,0,51.045,0,"MODECO",,,,3,""
6,,1,1,1,0,0,0,2,0,0,0,255,255,255,5,320.533,"_Chun",L,26,86,139,0.832,0.571,-0.354,2.102,0.342,1.815,-36.663,48.643,73,27,0,0,26.921,-154.256,-10.964,0,0,3,"=","=","=","=","=","=","=","=","=",1,R,"HANA_ARASHI",190,90,0.25,,40,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,-37.745,-0.026,-17.096,-20.287,-45.505,-15.276,-63.344,19.528,-49.052,13.785,-64.411,46.222,-90.958,-11.467,-123.559,-50.695,-94.588,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,324.16,-0.249,-37.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,1,0,0,1,2,0,0,0,255,255,255,6,331.559,"_Chun",L,14,78,104,-2.167,-0.8,-0.454,2.045,-0.23,1.653,-36.663,45.746,80,20,0,2,-312.923,374.773,-12.236,0,0,3,"=","=","=","=","=","=","=","=","=",1,R,"HANA_ARASHI",190,90,0.25,5,40,W,Y,1,332.646,160,98,158,123,94,,145,89,30.268,-44.314,-0.356,0.819,-21.007,1,0,0.609,-19.352,497.946,329.133,335.799,43.461,-79.003,336.173,6,42.665,1.403,-77.718,0,0,,338.819,,,,,,,,,,,,,337.71,3,,455,0,,,,,,,,,,,,,,,,,,,0.005,-37.763,-0.023,-17.111,-20.186,-45.436,-15.276,-63.321,19.503,-49.316,14.075,-64.286,48.177,-94.532,-6.092,-123.756,-50.649,-95.069,-0.238,-37.157,,"소솨소솨",-0.067,-17.108,,"MODECO",-20.118,-45.418,,"芝レイナ",-15.281,-63.34,,"인생최패망자",19.216,-48.856,,"_송글_",14.037,-64.063,,"펜케이크",48.165,-94.545,,"うよすま",-6.001,-123.643,,"Sabo_10",-50.693,-95.138,,,,,,,,,,,,,,,,,,,,337.719,43.107,-78.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1,-43.081,-38.294,1.342,0,0,1,54.885,54.885,52.14,54.885,0,-104.503,0,"펜케이크",,,,256,""
8,SIDE,1,1,1,0,0,0,2,0,0,0,255,255,255,,340.425,,,,,,,,,,,,,,,,,,,,,,,4,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,0,1,0,0,0,0,0,0,0,255,255,255,0,443.105,"CAT tourniquet",L,26,90,140,0.834,0.609,-0.686,1.579,0.53,1.772,-36.69,29.537,14,86,0,2,-105.177,-200,-9.375,0,0,0,"_송글_","인생최패망자","MODECO","Sabo_10","うよすま","소솨소솨","芝レイナ","펜케이크","_Chun",5,R,"_송글_",175.4,90.478,0.316,3,32,W,Y,1,444.039,85,49,33,37,22,,78,64,-40.968,37.99,0.183,1.092,-19.583,-0.87,0,0.349,6.088,202.196,-376.983,442.119,-0.725,-20.739,444.986,2,-10.092,0.055,-42.325,0,0,,449.317,,,,,,,,,,,,,449.377,0,,147,0,,,,,,,,,,,448.768,2,,,,,,,-0.153,-37.79,0.088,-17.132,-19.168,-45.886,-14.339,-62.609,22.448,-49.611,11.614,-64.105,39.466,-96.336,1.798,-117.394,-42.205,-94.094,-0.683,-37.266,,"HANA_ARASHI",0.05,-17.087,,"SUGUN",-19.165,-45.948,85,"Pring__",-14.531,-62.442,,"Penguin_iDOL",22.466,-49.603,,"CoalCat",11.636,-64.033,,"濃いめのラー油",39.456,-96.368,,"시즈카_Shizuka",3.414,-117.714,,"Yes_Man_",-42.125,-94.236,,451.113,-0.923,-38.099,,,,446.933,-10.82,-42.987,,,,,,,,,,,,,,,,,,,,,,,,,450.105,-17.543,-39.646,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"SUGUN",,,,260,""
10,,1,0,1,0,0,0,1,0,0,0,255,255,255,1,466.579,"CAT tourniquet",L,32,74,126,-2.244,-0.106,-0.935,1.471,-0.63,1.411,-36.69,28.4,0,100,0,4,-250,-137.951,-23.773,0,0,1,"=","=","=","=","=","=","=","=","=",4,R,"인생최패망자",190,80,0.351,,32,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.498,-37.894,0.013,-17.345,-19.738,-47.284,-10.969,-64.331,22.513,-49.43,12.63,-61.671,54.063,-99.68,-5.709,-115.876,-39.933,-94.329,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,471.043,-0.105,-37.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
11,,1,0,1,0,0,1,1,0,0,0,255,255,255,2,481.223,"CAT tourniquet",L,13,62,105,0.574,-0.233,-0.903,1.63,-0.479,1.927,-36.69,18.334,0,100,0,0,372.687,312.348,-24.994,0,0,1,"=","=","=","=","=","=","=","=","=",4,R,"인생최패망자",190,80,0.351,,32,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.496,-37.48,0.124,-17.494,-19.788,-47.275,-11.008,-64.436,22.629,-49.525,12.576,-61.662,47.14,-96.948,-0.03,-112.611,-39.784,-94.479,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,485.675,-0.315,-37.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
12,,1,0,1,0,0,2,1,0,0,0,255,255,255,3,494.689,"CAT tourniquet",L,26,92,140,1.385,0.725,-0.61,1.62,0.882,1.895,-36.69,32.142,18,82,0,2,-187.836,-200,-6.195,0,0,1,"=","=","=","=","=","=","=","=","=",4,R,"인생최패망자",190,80,0.351,5,32,W,Y,1,495.772,221,108,123,112,45,,145,90,27.038,-0.88,0.273,1.281,-20.006,-0.97,0,0.341,383.175,-161.438,-37.384,498.573,4.065,-96.013,498.973,7,3.993,0.86,-95.073,0,0,,501.511,,,,,,,,,,,,,500.993,1,,456,0,,,,,,,,,,,,,,,,,,,-0.124,-37.898,0.142,-17.416,-19.864,-47.201,-11.022,-64.486,22.714,-49.411,12.594,-61.656,47.006,-97.076,-3.78,-112.873,-39.891,-94.353,-0.57,-37.46,,"HANA_ARASHI",-0.096,-17.522,,"SUGUN",-19.72,-47.093,,"Pring__",-10.95,-64.272,85,"Penguin_iDOL",22.721,-49.299,,"CoalCat",12.619,-61.562,,"濃いめのラー油",46.99,-97.057,,"시즈카_Shizuka",-3.783,-112.869,92,"Yes_Man_",-40.003,-94.468,,512.261,-0.241,-38.638,,,,,,,509.587,-1.635,-59.252,,,,,,,,,,501.005,3.274,-95.416,,,,,,,,,,,,,511.158,-1.62,-56.852,,,,,,,,,,508.571,-6.365,-76.744,,,,"",1,-3.196,-3.197,-3.618,0,2,0,38.915,27.038,-2.251,38.686,0.045,110.545,0,"시즈카_Shizuka",,,,274,""
13,,1,0,1,0,0,0,2,0,0,0,255,255,255,4,527.836,"CAT tourniquet",L,33,63,117,-3.838,0.617,-1.112,1.634,-1.45,1.94,-36.69,37.996,0,100,0,4,-126.462,-57.787,-0.694,0,0,2,"=","=","=","=","=","=","=","=","=",2,R,"MODECO",190,85,0.447,,73,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.496,-37.86,0.035,-17.678,-19.6,-45.897,-13.792,-63.694,22.522,-49.838,10.037,-63.86,40.911,-94.381,4.404,-111.22,-46.765,-99.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,532.118,-0.315,-38.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
14,,1,0,1,0,0,1,2,0,0,0,255,255,255,5,541.508,"CAT tourniquet",L,26,68,120,-1.411,-0.282,-0.873,1.415,-0.341,1.232,-36.69,23.786,34,66,0,0,-147.673,-200,0.792,0,0,2,"=","=","=","=","=","=","=","=","=",2,R,"MODECO",190,85,0.447,,73,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.466,-37.408,0.049,-17.703,-19.517,-45.965,-13.782,-63.693,22.63,-50.071,10.022,-63.853,41.074,-94.31,4.531,-114.981,-44.013,-98.287,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,545.974,-0.275,-37.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
15,,1,0,1,0,0,2,2,0,0,0,255,255,255,6,557.424,"CAT tourniquet",L,26,87,140,1.055,0.172,-0.659,1.513,0.654,1.547,-36.69,21.641,28,72,0,2,-130.95,-200,-26.995,0,0,2,"=","=","=","=","=","=","=","=","=",2,R,"MODECO",190,85,0.447,3,73,W,Y,1,558.524,150,31,64,40,20,,136,81,-51.035,27.999,0.236,1.038,-19.398,-1,0,0.142,233.956,-41.143,481.334,556.413,-0.179,-20.186,558.973,2,-11.388,1.456,-41.553,0,0,,564.754,,,,,,,,,,,,,563.633,2,,147,0,,,,,,,,,,,563.021,2,,,,,,,-0.254,-37.646,0.016,-17.808,-19.673,-45.835,-15.031,-62.994,22.571,-49.922,10.055,-63.788,40.462,-94.164,-4.544,-111.797,-44.356,-98.088,-0.66,-37.596,,"HANA_ARASHI",0.081,-17.536,,"SUGUN",-19.502,-45.673,91,"Pring__",-14.966,-62.807,,"Penguin_iDOL",22.564,-49.857,,"CoalCat",10.029,-63.795,,"濃いめのラー油",40.457,-94.163,,"시즈카_Shizuka",-4.651,-111.792,,"Yes_Man_",-44.357,-98.098,,,,,,,,561.107,-11.934,-42.242,,,,,,,,,,,,,,,,,,,,,,,,,564.324,-17.257,-39.104,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"SUGUN",,,,4,""
16,SIDE,1,0,1,0,0,0,2,0,0,0,255,255,255,,565.105,,,,,,,,,,,,,,,,,,,,,,,3,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
17,,2,1,1,0,0,0,0,0,0,0,255,255,255,7,596.392,"_Chun",L,26,74,125,-0.935,1.497,-0.501,2.108,-0.394,2.337,-36.663,74.437,68,32,0,2,1.837,-200,-4.612,0,0,4,"濃いめのラー油","Pring__","SUGUN","HANA_ARASHI","시즈카_Shizuka","Penguin_iDOL","Yes_Man_","CoalCat","CAT tourniquet",7,R,"시즈카_Shizuka",190,85.33,0.496,5,32,W,Y,1,597.519,194,57,182,46,33,,145,131,7.48,72.23,-0.167,1.573,-20.117,0.52,0,0.513,161.642,163.07,-118.52,597.866,-76.564,-42.716,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,-37.835,0.006,-17.166,-19.923,-45.394,-15.692,-63.048,17.167,-46.78,14.265,-63.454,47.146,-88.597,-4.732,-119.896,-46.251,-96.361,-0.498,-36.866,,"소솨소솨",-0.019,-17.139,,"MODECO",-19.892,-45.396,,"芝レイナ",-15.736,-63.03,,"인생최패망자",17.152,-46.787,,"_송글_",14.384,-63.452,,"펜케이크",46.722,-88.917,,"うよすま",-4.777,-119.838,,"Sabo_10",-46.268,-96.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,73.438,69.67,25.67,0.629,0,1,7.48,7.48,18.945,7.48,0,85.932,0,"",,,,0,""
18,,2,1,1,0,0,1,0,0,0,0,255,255,255,8,613.286,"_Chun",L,26,89,140,1.715,0.628,-0.274,2.062,0.73,1.828,-36.663,40.883,77,23,0,1,18.94,-183.602,-15.719,0,0,4,"=","=","=","=","=","=","=","=","=",7,R,"시즈카_Shizuka",190,85.33,0.496,,32,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,-37.716,0.005,-17.152,-20.592,-45.685,-15.531,-63.177,17.44,-47.499,12.691,-64.399,48.383,-88.952,-4.913,-119.386,-48.852,-95.562,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
19,,2,1,1,0,1,1,0,0,0,0,255,255,255,9,625.909,"_Chun",L,6,80,107,1.309,0.629,0.052,2.177,1.411,2.012,-36.663,38.885,83,17,0,0,-436.061,10.597,-15.46,0,0,4,"=","=","=","=","=","=","=","=","=",7,R,"시즈카_Shizuka",190,85.33,0.496,,32,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,-37.845,-0.002,-17.16,-20.541,-45.478,-15.159,-63.462,17.358,-47.433,14.345,-63.643,49.335,-88.66,-4.479,-119.393,-49.124,-96.419,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
20,,2,1,1,0,1,2,0,0,0,0,255,255,255,10,638.48,"_Chun",L,13,87,126,-0.597,-0.814,-0.601,1.991,-0.679,1.518,-36.663,54.179,76,24,0,0,279.02,400,-2.167,0.131,-16.386,4,"=","=","=","=","=","=","=","=","=",7,R,"시즈카_Shizuka",190,85.33,0.496,,32,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,646.749,4,,706,256,,,,,,,,,,,,,,,,,,,-0.031,-37.854,-0.003,-17.162,-20.386,-45.508,-15.092,-63.477,17.464,-47.822,14.274,-63.947,49.358,-88.676,-4.693,-118.512,-50.074,-96.221,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
21,,2,1,1,0,0,0,1,0,0,0,255,255,255,11,678.636,"_Chun",L,6,84,109,1.361,0.445,0.044,2.123,1.329,1.88,-36.663,33.941,82,18,0,0,-456.294,0,-15.301,0,0,5,"=","=","=","=","=","=","=","=","=",4,R,"Penguin_iDOL",190,80,0.25,,32,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,-37.855,0.031,-17.175,-20.751,-45.972,-15.116,-63.493,17.467,-47.834,14.915,-64.045,50.833,-87.862,-5.084,-121.885,-52.606,-100.184,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
22,,2,1,1,0,0,1,1,0,0,0,255,255,255,12,692.182,"_Chun",L,14,84,108,-1.744,-1.165,-0.455,1.866,-0.076,1.345,-36.663,31.509,90,10,0,4,-351.7,348.832,-7.285,-0.427,-17.323,5,"=","=","=","=","=","=","=","=","=",4,R,"Penguin_iDOL",190,80,0.25,,32,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,-37.798,0.007,-17.226,-20.485,-45.82,-15.163,-63.649,17.471,-47.821,15.017,-64.133,50.747,-88.067,-4.283,-121.962,-52.972,-100.405,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
23,,2,1,1,0,0,2,1,0,0,0,255,255,255,13,706.032,"_Chun",L,26,85,138,0.045,1.755,-0.457,2.193,-0.047,2.519,-36.663,55.155,77,23,0,4,58.126,-200,-12.033,0,0,5,"=","=","=","=","=","=","=","=","=",4,R,"Penguin_iDOL",190,80,0.25,,32,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,708.633,5,,578,0,,,,,,,,,,,,,,,,,,,-0.038,-37.828,-0.228,-17.286,-20.813,-46.076,-15.132,-63.471,17.471,-47.813,15.929,-62.993,50.108,-88.33,-3.571,-120.506,-53.079,-100.928,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
