id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,249.81,"Floră",R,13,72,99,0.789,-2.715,0.367,1.52,0.517,1.126,-36.344,32.216,1,0,-384.124,260.457,8.38,0.145,-36.35,0,0,3,R,"아침땅_",160,94.936,0.502,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,-37.579,0,"Kr_Luna",0.027,-17.527,0,"인생최패망자",-19.59,-44.903,0,"_앰프_",-18.155,-60.139,0,"눈꽃",19.293,-45.896,0,"_이누_",14.871,-61.998,0,"AI",40.9,-90.65,0,"AI",0,-109.85,0,"Rite_",-44.531,-89.358,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,268.202,"Floră",R,3,61,93,2.361,-2.73,0.766,1.682,1.335,1.455,-36.344,41.683,1,0,-357.135,93.64,6.553,0.435,-36.349,0,0,3,R,"아침땅_",160,94.936,0.502,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,-37.8,0,"Kr_Luna",0.01,-17.506,0,"인생최패망자",-19.67,-44.952,0,"_앰프_",-18.16,-60.178,0,"눈꽃",19.328,-45.921,0,"_이누_",14.785,-61.867,0,"AI",40.9,-90.65,0,"AI",0,-109.85,0,"Rite_",-45.991,-89.745,0,0,0,0,0,0,"",0,0,0,0,376.27,,,,0,0
3,1,1,0,0,0,0,0,0,0,0,255,255,255,2,408.253,"Floră",R,3,74,115,-3.239,-2.97,0.423,1.641,-0.709,-0.029,-36.865,19.898,1,0,-403.551,0,14.983,-0.585,-20.584,0,0,3,R,"아침땅_",160,94.936,0.502,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,-37.557,0,"Kr_Luna",0.025,-17.481,0,"인생최패망자",-19.77,-44.907,0,"_앰프_",-17.033,-60.888,0,"눈꽃",18.823,-46.438,0,"_이누_",14.935,-62.558,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-41.299,-85.331,0,0,0,0,0,0,"",0,0,0,0,409.187,,,,0,0
4,1,1,0,0,1,0,0,0,0,0,255,255,255,3,419.667,"Floră",R,3,60,93,0.898,-0.19,0.846,1.635,1.207,1.525,-36.976,38.567,0,0,-348.28,0,12.615,0,0,0,0,3,R,"아침땅_",160,94.936,0.502,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,-37.89,0,"Kr_Luna",0.004,-17.439,0,"인생최패망자",-19.729,-44.887,0,"_앰프_",-17.02,-60.822,0,"눈꽃",18.96,-46.37,0,"_이누_",14.89,-62.671,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-42.311,-85.837,0,0,0,0,0,0,"",0,0,0,0,420.703,,,,0,0
5,1,1,0,0,1,1,0,0,0,0,255,255,255,4,432.809,"Floră",R,3,57,103,-3.703,0.39,0.495,1.689,-0.792,1.822,-37.152,36.62,1,0,-382.346,0,7.232,0,0,0,0,3,R,"아침땅_",160,94.936,0.502,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049,-37.756,0,"Kr_Luna",-0.205,-17.405,0,"인생최패망자",-19.621,-44.883,0,"_앰프_",-17.024,-60.857,0,"눈꽃",19.054,-46.432,0,"_이누_",14.653,-62.608,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-43.493,-88.303,0,0,0,0,0,0,"",0,0,0,0,433.828,,,,0,0
6,1,1,0,0,2,1,0,0,0,0,255,255,255,5,444.614,"Floră",R,3,62,106,3.196,-0.14,0.749,1.792,2.143,1.527,-36.957,46.58,1,0,-386.379,0,7.532,0,0,0,0,3,R,"아침땅_",160,94.936,0.502,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,-37.816,0,"Kr_Luna",-0.016,-17.406,0,"인생최패망자",-19.831,-44.978,0,"_앰프_",-17.531,-61.655,0,"눈꽃",18.416,-46.512,0,"_이누_",14.801,-63.361,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-43.482,-88.287,0,0,0,0,0,0,"",0,0,0,0,445.52,,,,0,0
7,1,1,0,0,3,1,0,0,0,0,255,255,255,6,455.289,"Floră",R,3,57,91,-2.342,0.464,0.615,1.731,-0.24,1.872,-36.843,25.502,4,0,-331.994,0,16.366,0,0,1,0,3,R,"아침땅_",160,94.936,0.502,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,-37.694,0,"Kr_Luna",0.017,-17.434,0,"인생최패망자",-19.782,-44.942,0,"_앰프_",-17.441,-61.62,0,"눈꽃",18.744,-46.511,0,"_이누_",12.317,-66.508,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-43.691,-88.342,0,0,0,0,0,0,"",0,0,0,0,456.345,,,,0,0
8,1,1,0,0,3,2,0,0,0,0,255,255,255,7,467.966,"Floră",R,33,80,130,0.421,-0.388,0.312,1.75,0.016,1.331,-36.735,24.664,0,0,104.635,-39.735,2.389,0,0,0,0,3,R,"아침땅_",160,94.936,0.502,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,-37.841,0,"Kr_Luna",-0.003,-17.432,0,"인생최패망자",-19.258,-44.459,0,"_앰프_",-17.47,-61.646,0,"눈꽃",19.054,-46.589,0,"_이누_",14.881,-64.719,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-42.605,-87.53,0,0,0,0,0,0,"",0,0,0,0,468.762,,,,0,0
9,1,1,0,0,0,0,1,0,0,0,255,255,255,8,484.213,"Floră",R,13,77,115,3.322,-1.446,0.36,1.67,1.996,1.12,-36.623,17.135,1,0,-384.205,319.979,22.027,0,0,0,1,5,R,"ByeolBam",174.9,90,0.5,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023,-37.782,0,"Kr_Luna",-0.005,-17.384,0,"인생최패망자",-20.575,-45.93,0,"_앰프_",-17.771,-61.476,0,"눈꽃",19.092,-47.151,0,"_이누_",9.487,-65.752,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-43.387,-88.478,0,0,0,0,0,0,"",0,0,0,0,485.153,,,,0,0
10,1,1,0,0,1,0,1,0,0,0,255,255,255,9,495.634,"Floră",R,3,60,107,1.471,0.665,0.785,1.829,1.26,1.996,-37.042,39.013,0,0,-302.809,0,9.824,0,0,0,1,5,R,"ByeolBam",174.9,90,0.5,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,-37.899,0,"Kr_Luna",-0.024,-17.419,0,"인생최패망자",-20.669,-45.892,0,"_앰프_",-17.787,-61.558,0,"눈꽃",19.1,-47.15,0,"_이누_",10.669,-67.155,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-43.42,-88.541,0,0,0,0,0,0,"",0,0,0,0,496.645,,,,0,0
11,1,1,0,0,1,1,1,0,0,0,255,255,255,10,508.997,"Floră",R,13,64,106,2.992,-1.372,0.675,1.816,2.047,1.321,-37.095,51.09,1,0,-369.616,320.748,7.318,0,0,0,1,5,R,"ByeolBam",174.9,90,0.5,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,-37.805,0,"Kr_Luna",-0.014,-17.415,0,"인생최패망자",-20.739,-45.885,0,"_앰프_",-17.783,-61.602,0,"눈꽃",19.046,-47.132,0,"_이누_",14.137,-64.002,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-43.266,-88.23,0,0,0,0,0,0,"",0,0,0,0,510.037,,,,0,0
12,1,1,0,0,2,1,1,0,0,0,255,255,255,11,522.703,"Floră",R,34,84,136,-6.816,-1.825,-0.033,1.698,-3.072,0.498,-36.775,10.777,1,0,72.274,-33.431,1.488,0,0,0,1,5,R,"ByeolBam",174.9,90,0.5,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,-37.792,0,"Kr_Luna",0.142,-17.172,0,"인생최패망자",-20.399,-45.446,0,"_앰프_",-17.888,-61.526,0,"눈꽃",19.059,-47.094,0,"_이누_",14.65,-63.914,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-43.086,-88.022,0,0,0,0,0,0,"",0,0,0,0,523.637,,,,0,0
13,1,1,0,0,3,1,1,0,0,0,255,255,255,12,535.229,"Floră",R,5,55,94,1.471,0.637,0.837,1.788,0.899,1.995,-36.972,37.31,0,0,-118.087,0,8.417,0,0,0,1,5,R,"ByeolBam",174.9,90,0.5,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,-37.962,0,"Kr_Luna",-0.016,-17.147,0,"인생최패망자",-20.612,-45.624,0,"_앰프_",-17.756,-61.532,0,"눈꽃",19.101,-47.194,0,"_이누_",14.626,-65.951,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Rite_",-43.027,-88.014,0,0,0,0,0,0,"",0,0,0,0,536.345,,,,0,0
