id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,329.06,Pugeuk,R,26,140,0.341,-0.937,-0.013,1.247,-36.56,0,0,-86.183,-200,21.745,0,0,0,0,2,L,CAT tourniquet,190,89.616,0.357,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,-37.606,0,하루（Haru）,-0.025,-16.801,0,WhiteMountain,-22.532,-50.234,0,Chunsik03,-11.233,-64.206,0,-라후이-,18.64,-42.114,0,ke ro,14.78,-62.461,0,눈꽃,38.676,-92.214,0,alcohol500,7.876,-103.201,0,아침땅_,-31.339,-94.309,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,340.248,Pugeuk,R,14,126,-0.254,-0.412,-0.149,1.41,-36.497,2,0,390.434,312.348,30.7,0,0,1,0,2,L,CAT tourniquet,190,89.616,0.357,2,58,341.209,174,7,90,53,11,147,141,96,91.982,87.283,-0.42,-0.053,0.036,0.167,0,0.457,-37.434,0,하루（Haru）,-0.05,-16.812,0,WhiteMountain,-22.3,-50.361,0,Chunsik03,-11.032,-64.267,0,-라후이-,18.703,-42.932,0,ke ro,14.781,-62.378,0,눈꽃,38.652,-92.183,0,alcohol500,7.456,-103.745,0,아침땅_,-31.203,-94.5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,362.745,Pugeuk,R,26,140,-2.751,0.429,-0.239,1.421,-36.455,4,0,-60.137,-199.573,29.781,0,0,1,0,2,L,CAT tourniquet,190,89.616,0.357,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176,-37.215,0,하루（Haru）,-0.199,-16.786,0,WhiteMountain,-23.309,-50.399,0,Chunsik03,-10.265,-64.1,0,-라후이-,20.087,-46.269,0,ke ro,14.584,-63.272,0,눈꽃,41.112,-88.479,0,alcohol500,9.065,-101.666,0,아침땅_,-31.672,-94.09,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,386.093,Pugeuk,R,26,139,0.014,1.532,0.005,1.545,-36.518,1,0,-16.152,-200,31.021,0,0,0,1,3,L,vovopo 보보포,160,90.152,0.599,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,-37.12,0,하루（Haru）,0.06,-16.824,0,WhiteMountain,-22.655,-50.104,0,Chunsik03,-10.972,-63.546,0,-라후이-,19.287,-43.986,0,ke ro,13.994,-63.48,0,눈꽃,40.782,-88.486,0,alcohol500,8.804,-102.157,0,아침땅_,-29.205,-93.538,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,396.9,Pugeuk,R,14,118,-1.111,0.683,-0.243,1.594,-36.515,0,0,390.434,312.348,17.106,0,0,0,1,3,L,vovopo 보보포,160,90.152,0.599,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064,-37.524,0,하루（Haru）,0.053,-16.746,0,WhiteMountain,-22.691,-50.107,0,Chunsik03,-11.124,-63.57,0,-라후이-,18.947,-43.67,0,ke ro,13.983,-63.489,0,눈꽃,40.798,-88.523,0,alcohol500,7.934,-101.687,0,아침땅_,-28.635,-93.565,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,410.497,Pugeuk,R,26,140,1.635,-0.19,0.16,1.309,-36.564,4,0,-27.017,-200,14.479,0,0,1,1,3,L,vovopo 보보포,160,90.152,0.599,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143,-37.906,0,하루（Haru）,0.396,-16.795,0,WhiteMountain,-22.426,-50.285,0,Chunsik03,-11.45,-62.842,0,-라후이-,18.442,-47.129,0,ke ro,14.018,-63.44,0,눈꽃,40.801,-88.502,0,alcohol500,7.641,-101.037,0,아침땅_,-27.672,-95.326,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,2,1,0,0,0,255,255,255,6,424.59,Pugeuk,R,13,104,-0.63,-1.91,0.144,1.499,-36.623,4,0,-286.782,397.483,34.321,-0.213,-18.944,1,1,3,L,vovopo 보보포,160,90.152,0.599,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,-37.81,0,하루（Haru）,0.04,-16.863,0,WhiteMountain,-22.35,-50.1,0,Chunsik03,-10.574,-60.471,0,-라후이-,19.134,-45.934,0,ke ro,13.657,-63.789,0,눈꽃,40.824,-88.502,0,alcohol500,7.526,-102.242,0,아침땅_,-28.123,-95.039,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,454.079,Pugeuk,R,26,140,1.019,-1.148,0.041,1.268,-36.576,1,0,-87.426,-200,18.346,0,0,0,2,1,R,白霜らいふ,190,100.374,0.8,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,-37.445,0,하루（Haru）,0.041,-17.131,0,WhiteMountain,-20.237,-47.692,0,Chunsik03,-11.822,-62.793,0,-라후이-,21.009,-47.589,0,ke ro,11.452,-64.658,0,눈꽃,35.491,-87.046,0,alcohol500,-1.568,-103.912,0,아침땅_,-40.829,-87.735,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,0,2,0,0,0,255,255,255,8,464.559,Pugeuk,R,26,140,0.7,-0.211,0.075,1.299,-36.347,2,0,-38.782,-200,31.915,0,0,1,2,1,R,白霜らいふ,190,100.374,0.8,2,37,465.617,154,8,102,49,12,255,142,95,-34.775,38.218,-0.48,-0.05,-0.085,0.149,0,0.3,-36.806,0,하루（Haru）,0.037,-17.154,0,WhiteMountain,-20.322,-47.628,0,Chunsik03,-11.869,-62.492,0,-라후이-,20.852,-47.497,0,ke ro,11.437,-64.612,0,눈꽃,35.264,-87.306,0,alcohol500,-1.76,-103.029,0,아침땅_,-40.928,-87.757,0,465.343,-0.865,-20.576,467.285,2,WhiteMountain,-20.441,-45.109,0,0,0,0,0,0,0,2
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,623.393,それいゆ るな,R,37,112,-1.168,-1.125,-0.105,0.995,-37.236,1,0,22.998,82.64,4.649,0,0,0,0,7,L,alcohol500,171.7,88.836,0.341,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.416,-38.2,0,白霜らいふ,0.055,-16.413,0,CAT tourniquet,-18.756,-47.187,0,vovopo 보보포,-7.857,-64.146,0,Kr_Luna,20.599,-49.903,0,CVPileMaki,13.613,-64.729,0,AI,35.7,-81.8,0,_Chun,0.163,-103.239,0,Penguin_iDOL,-37.217,-86.424,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,1,0,0,0,0,0,255,255,255,1,644.803,それいゆ るな,R,7,93,1.566,-0.124,-0.061,1.068,-37.205,2,0,224.389,0,-32.699,0,0,1,0,7,L,alcohol500,171.7,88.836,0.341,3,61,646.139,68,18,131,70,43,140,122,65,17.869,-11.458,0.98,0.02,-0.06,0.086,0,-0.251,-38.256,0,白霜らいふ,0.068,-16.402,0,CAT tourniquet,-18.794,-47.101,0,vovopo 보보포,-6.187,-67.119,0,Kr_Luna,20.666,-49.855,0,CVPileMaki,13.598,-64.74,0,AI,35.7,-81.8,0,_Chun,1.197,-102.77,0,Penguin_iDOL,-37.452,-86.159,0,648.511,7.787,-57.766,649.202,5,CVPileMaki,8.359,-60.625,1,0,0,0,0,0,0,2
12,1,0,0,0,0,0,0,1,0,0,16,255,255,2,709.39,それいゆ るな,R,1,99,-0.154,-0.822,-0.214,1.123,-37.365,2,0,0,0,26.372,0,0,1,1,4,R,-라후이-,190,94.959,0.502,3,82,710.605,150,24,114,112,72,106,150,116,-30,18.515,0.94,-0.065,-0.085,0.106,0,-0.269,-38.308,0,白霜らいふ,-0.075,-16.45,0,CAT tourniquet,-20.038,-43.783,0,vovopo 보보포,-18.198,-61.568,0,Kr_Luna,19.192,-50.151,0,CVPileMaki,7.632,-65.121,0,AI,35.7,-81.8,0,_Chun,-8.304,-87.322,0,Penguin_iDOL,-40.018,-84.685,0,710.375,-0.441,-22.259,713.133,7,_Chun,-10.504,-78.526,0,0,0,0,0,0,0,2
13,1,0,0,0,0,0,1,0,1,0,255,16,255,3,743.396,それいゆ るな,R,36,111,0.459,-1.301,0.036,0.992,-37.303,1,0,12.352,120.366,3.403,0,0,0,2,3,R,Chunsik03,173.6,85,0.296,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119,-38.271,0,白霜らいふ,0.008,-16.489,0,CAT tourniquet,-19.598,-45.987,0,vovopo 보보포,-12.777,-62.104,0,Kr_Luna,18.837,-45.887,0,CVPileMaki,4.408,-64.391,0,AI,35.701,-81.801,0,_Chun,-1.886,-98.624,0,Penguin_iDOL,-36.959,-86.234,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
14,1,0,0,1,1,0,1,0,0,0,255,255,255,4,781.507,それいゆ るな,R,0,93,0.493,2.746,0.018,1.232,-37.226,4,0,0,0,10.353,0,0,1,2,3,R,Chunsik03,173.6,85,0.296,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182,-38.23,0,白霜らいふ,-0.036,-16.4,0,CAT tourniquet,-19.83,-46.19,0,vovopo 보보포,-11.686,-63.993,0,Kr_Luna,19.381,-48.582,0,CVPileMaki,12.829,-64.807,0,AI,35.7,-81.8,0,_Chun,-4.595,-100.798,0,Penguin_iDOL,-36.772,-86.179,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
15,1,0,0,1,1,1,1,0,0,0,255,255,255,5,804.721,それいゆ るな,R,17,110,-0.901,-0.644,-0.147,0.886,-37.425,0,0,0,-99.499,-8.152,0,0,0,2,3,R,Chunsik03,173.6,85,0.296,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.394,-38.27,0,白霜らいふ,-0.089,-16.629,0,CAT tourniquet,-19.862,-46.146,0,vovopo 보보포,-14.732,-62.737,0,Kr_Luna,19.332,-48.828,0,CVPileMaki,13.164,-64.961,0,AI,35.7,-81.8,0,_Chun,-9.784,-106.402,0,Penguin_iDOL,-38.635,-86.406,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
16,1,0,0,1,1,2,1,0,0,0,255,255,255,6,818.866,それいゆ るな,R,0,98,0.195,0.55,-0.013,0.995,-37.234,0,0,-8.483,0,38.825,0,0,1,2,3,R,Chunsik03,173.6,85,0.296,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.241,-38.294,0,白霜らいふ,0.005,-16.455,0,CAT tourniquet,-19.87,-44.425,0,vovopo 보보포,-11.555,-60.983,0,Kr_Luna,19.206,-49.05,0,CVPileMaki,12.906,-64.969,0,AI,35.7,-81.8,0,_Chun,-9.734,-106.352,0,Penguin_iDOL,-38.775,-86.359,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
17,1,0,0,1,0,0,2,0,0,0,255,255,255,7,846.033,それいゆ るな,R,36,112,-0.815,1.385,-0.121,1.287,-37.385,1,0,28.647,106.775,3.008,0,0,0,3,5,R,ke ro,160,80,0.404,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.401,-38.386,0,白霜らいふ,0.048,-16.405,0,CAT tourniquet,-19.638,-46.761,0,vovopo 보보포,-16.582,-59.996,0,Kr_Luna,15.669,-50.31,0,CVPileMaki,9.567,-66.121,0,AI,35.7,-81.8,0,_Chun,-9.188,-107.437,0,Penguin_iDOL,-38.602,-85.242,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
18,1,0,0,1,1,0,2,0,0,0,255,255,255,8,862.291,それいゆ るな,R,0,105,0.174,-0.438,-0.072,0.912,-37.221,0,0,0,0,-59.678,0,0,0,3,5,R,ke ro,160,80,0.404,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.313,-38.342,0,白霜らいふ,0.067,-16.424,0,CAT tourniquet,-19.888,-46.62,0,vovopo 보보포,-16.136,-60.398,0,Kr_Luna,15.619,-50.43,0,CVPileMaki,9.562,-66.164,0,AI,35.7,-81.8,0,_Chun,-9.206,-107.504,0,Penguin_iDOL,-39.072,-85.615,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
19,1,0,0,1,1,1,2,0,0,0,255,255,255,9,879.777,それいゆ るな,R,36,114,0.404,-1.413,0.008,0.966,-37.286,2,0,19.705,112.316,2.52,0,0,1,3,5,R,ke ro,160,80,0.404,2,59,880.89,162,17,99,80,47,162,150,100,20.072,39.605,0.92,-0.029,-0.079,0.096,0,-0.064,-38.176,0,白霜らいふ,0.071,-16.435,0,CAT tourniquet,-19.97,-46.591,0,vovopo 보보포,-18.819,-61.169,0,Kr_Luna,15.698,-50.29,0,CVPileMaki,9.57,-66.178,0,AI,35.7,-81.8,0,_Chun,-9.232,-107.525,0,Penguin_iDOL,-38.966,-85.635,0,884.118,-37.612,-83.509,884.201,8,Penguin_iDOL,-36.012,-79.624,0,0,0,0,0,0,0,1
20,2,1,0,1,0,0,0,0,0,0,255,255,255,9,921.016,Pugeuk,R,6,113,6.805,-1.101,0.156,1.454,-36.551,1,0,499.912,0,16.679,0,0,0,3,7,L,_Chun,160,80,0.452,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296,-38.154,0,하루（Haru）,1.012,-17.068,0,WhiteMountain,-20.875,-49.009,0,Chunsik03,-10.665,-63.749,0,-라후이-,18.354,-42.501,0,ke ro,12.054,-64.306,0,눈꽃,40.768,-86.224,0,alcohol500,1.597,-102.153,0,아침땅_,-30.869,-88.982,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
21,2,1,0,1,1,0,0,0,0,0,255,255,255,10,932.512,Pugeuk,R,26,140,0.177,0.352,0.034,1.384,-36.555,2,0,-61.166,-200,27.182,0,0,1,3,7,L,_Chun,160,80,0.452,3,88,933.427,11,2,32,37,33,30,8,49,100.464,63.719,0.16,0.062,-0.117,0.051,0.429,0.027,-37.085,0,하루（Haru）,0.05,-16.984,0,WhiteMountain,-20.867,-49.17,0,Chunsik03,-10.717,-63.969,0,-라후이-,20.542,-47.248,0,ke ro,11.277,-64.242,0,눈꽃,39.929,-86.225,0,alcohol500,4.996,-103.165,0,아침땅_,-30.959,-89.138,0,937.982,15.851,-12.335,941.049,1,하루（Haru）,15.156,-16.569,0,0,0,0,0,0,0,2
22,2,1,0,1,1,1,0,0,0,0,255,255,255,11,963.032,Pugeuk,R,10,108,2.039,-1.48,0.262,1.577,-36.647,1,0,0,400,15.767,0,0,0,3,7,L,_Chun,160,80,0.452,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,-37.891,0,하루（Haru）,0.327,-16.885,0,WhiteMountain,-21.852,-48.173,0,Chunsik03,-11.704,-60.594,0,-라후이-,20.105,-45.994,0,ke ro,12.715,-63.852,0,눈꽃,40.854,-87.827,0,alcohol500,5.098,-106.246,0,아침땅_,-29.248,-89.447,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
23,2,1,0,1,2,1,0,0,0,0,255,255,255,12,974.972,Pugeuk,R,10,110,-1.012,-2.352,-0.198,1.437,-36.635,4,0,0,400,20.333,0,0,1,3,7,L,_Chun,160,80,0.452,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.914,0,하루（Haru）,-0.186,-17.016,0,WhiteMountain,-21.804,-48.112,0,Chunsik03,-11.515,-60.748,0,-라후이-,20.409,-46.7,0,ke ro,11.423,-63.876,0,눈꽃,40.828,-87.826,0,alcohol500,5.361,-105.088,0,아침땅_,-31.132,-87.385,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
24,2,1,0,1,2,2,0,0,0,0,255,255,255,13,990.977,Pugeuk,R,28,135,0.855,3.486,0.072,1.84,-36.608,1,0,26.327,-88.782,30.322,0,0,0,3,7,L,_Chun,160,80,0.452,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,-37.449,0,하루（Haru）,0.109,-17.336,0,WhiteMountain,-20.694,-46.545,0,Chunsik03,-12.058,-60.462,0,-라후이-,22.156,-47.444,0,ke ro,11.449,-63.956,0,눈꽃,36.715,-86.64,0,alcohol500,6.033,-105.165,0,아침땅_,-28.198,-90.785,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
25,2,1,0,1,3,2,0,0,0,0,255,255,255,14,1003.386,Pugeuk,R,26,140,-4.235,1.172,-0.055,1.331,-36.419,2,0,-79.307,-200,22.267,0,0,1,3,7,L,_Chun,160,80,0.452,3,88,1004.323,141,6,57,28,18,60,112,109,-30,-35.171,0.44,-0.016,-0.056,0.064,0,-0.257,-37.108,0,하루（Haru）,-0.093,-17.008,0,WhiteMountain,-20.917,-47.628,0,Chunsik03,-11.844,-60.529,0,-라후이-,22.278,-47.51,0,ke ro,11.428,-63.901,0,눈꽃,36.839,-86.557,0,alcohol500,6.586,-105.69,0,아침땅_,-30.219,-89.484,0,1004.046,0.758,-21.074,1005.688,4,-라후이-,19.291,-47.553,1,0,0,0,0,0,0,2
26,2,1,0,1,0,0,0,1,0,0,7,255,255,15,1035.093,Pugeuk,R,26,140,-0.18,0.207,-0.006,1.372,-36.491,2,0,-40.913,-200,28.421,0,0,1,4,8,R,Penguin_iDOL,180.3,80,0.402,3,66,1036.155,207,20,153,52,30,224,150,102,25.101,-3.545,-0.08,0.038,-0.021,0.133,0,-0.325,-38.007,0,하루（Haru）,0.004,-17.142,0,WhiteMountain,-19.348,-41.227,0,Chunsik03,-12.655,-59.467,0,-라후이-,17.855,-43.916,0,ke ro,8.294,-65.014,0,눈꽃,33.115,-88.557,0,alcohol500,-1.471,-104.994,0,아침땅_,-42.896,-85.379,0,0,0,0,1040.728,7,alcohol500,-4.186,-103.552,0,0,0,0,0,0,0,1
27,2,1,0,1,0,0,1,1,0,0,7,255,255,16,1080.552,Pugeuk,R,26,134,0.351,-0.358,0.013,1.45,-36.545,0,0,-84.952,-153.621,12.565,0,0,1,5,5,R,CVPileMaki,160,94,0.399,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.388,-38.786,0,하루（Haru）,0.203,-17.494,0,WhiteMountain,-20.276,-43.632,0,Chunsik03,-12.633,-57.145,0,-라후이-,17.587,-46.106,0,ke ro,3.662,-64.426,0,눈꽃,27.661,-86.907,0,alcohol500,0.793,-102.398,0,아침땅_,-39.049,-78.489,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
28,2,1,0,1,0,1,1,0,1,0,255,7,255,17,1108.058,Pugeuk,R,26,138,0.196,0.175,-0.039,1.412,-36.478,2,0,-68.616,-200,11.74,0,0,1,5,5,R,CVPileMaki,160,94,0.399,3,57,1109.133,105,8,56,34,21,76,106,102,-15.058,37.457,0.68,-0.031,-0.073,0.056,0,-0.054,-37.279,0,하루（Haru）,0.032,-16.983,0,WhiteMountain,-20.683,-45.81,0,Chunsik03,-13.577,-58.328,0,-라후이-,18.965,-46.062,0,ke ro,6.504,-63.975,0,눈꽃,31.792,-86.475,0,alcohol500,1.693,-102.512,0,아침땅_,-38.805,-78.549,0,1108.967,-2.133,-21.184,1110.609,2,WhiteMountain,-20.103,-44.409,0,0,0,0,0,0,0,2
29,2,1,0,1,0,0,2,0,0,1,255,255,7,18,1142.242,Pugeuk,R,6,112,15.925,-2.529,0.083,1.395,-36.617,1,0,500,0,15.185,1.869,-26.222,0,6,4,L,Kr_Luna,190,94.523,0.497,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.613,-36.855,0,하루（Haru）,1.229,-16.438,0,WhiteMountain,-21.188,-47.667,0,Chunsik03,-11.956,-63.959,0,-라후이-,18.394,-41.149,0,ke ro,11.949,-63.901,0,눈꽃,42.47,-101.529,0,alcohol500,2.39,-104.057,0,아침땅_,-33.78,-97.145,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
30,2,1,1,1,1,0,2,0,0,0,255,255,255,19,1174.896,Pugeuk,R,6,116,2.02,0.055,-0.134,1.47,-36.561,1,0,500,0,25.254,1.856,-9.807,0,6,4,L,Kr_Luna,190,94.523,0.497,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,-37.972,0,하루（Haru）,0.123,-16.985,0,WhiteMountain,-20.333,-47.071,0,Chunsik03,-10.821,-63.262,0,-라후이-,19.947,-45.912,0,ke ro,12.287,-64.413,0,눈꽃,42.493,-101.556,0,alcohol500,1.855,-105.18,0,아침땅_,-32.021,-93.468,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
31,2,1,1,1,2,0,2,0,0,0,255,255,255,20,1190.332,Pugeuk,R,26,140,-0.485,-0.089,-0.001,1.321,-36.54,0,0,-156.807,-200,22.555,0,0,0,6,4,L,Kr_Luna,190,94.523,0.497,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,-37.235,0,하루（Haru）,0.087,-16.729,0,WhiteMountain,-20.419,-47.048,0,Chunsik03,-10.873,-63.269,0,-라후이-,19.336,-46.688,0,ke ro,13.013,-63.625,0,눈꽃,42.5,-101.532,0,alcohol500,2.104,-105.011,0,아침땅_,-31.721,-93.663,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
32,2,1,1,1,2,1,2,0,0,0,255,255,255,21,1203.328,Pugeuk,R,26,140,-1.25,1.054,-0.095,1.544,-36.385,4,0,-74.076,-195.962,15.778,0,0,0,6,4,L,Kr_Luna,190,94.523,0.497,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101,-37.176,0,하루（Haru）,-0.22,-17.35,0,WhiteMountain,-20.389,-47.091,0,Chunsik03,-10.797,-63.303,0,-라후이-,18.722,-46.221,0,ke ro,12.647,-64.141,0,눈꽃,42.499,-101.538,0,alcohol500,2.977,-105.437,0,아침땅_,-31.712,-93.655,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
33,2,1,1,1,2,2,2,0,0,0,255,255,255,22,1223.214,Pugeuk,R,6,107,2.127,0.392,-0.008,1.505,-36.494,4,0,480.083,0,31.874,0,0,0,6,4,L,Kr_Luna,190,94.523,0.497,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356,-38.065,0,하루（Haru）,0.19,-17.376,0,WhiteMountain,-20.331,-47.023,0,Chunsik03,-10.733,-61.915,0,-라후이-,19.371,-46.293,0,ke ro,12.354,-64.183,0,눈꽃,42.502,-101.56,0,alcohol500,2.569,-105.569,0,아침땅_,-31.698,-93.639,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
34,2,0,1,1,0,0,0,0,0,0,255,255,255,10,1265.238,それいゆ るな,R,38,95,1.048,-0.919,0.002,0.862,-37.278,0,0,40.209,-12.889,-20.886,0,0,0,4,8,R,아침땅_,160,95.405,0.5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.464,-38.236,0,白霜らいふ,0.022,-16.342,0,CAT tourniquet,-20.135,-45.674,0,vovopo 보보포,-15.16,-60.228,0,Kr_Luna,18.492,-48.268,0,CVPileMaki,13.459,-64.933,0,AI,35.7,-81.8,0,_Chun,-6.069,-93.437,0,Penguin_iDOL,-37.441,-83.567,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
35,2,0,1,1,0,1,0,0,0,0,255,255,255,11,1279.522,それいゆ るな,R,0,120,-0.812,-0.822,-0.173,1.082,-37.219,0,0,-12.162,0,14.049,0,0,0,4,8,R,아침땅_,160,95.405,0.5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.446,-38.316,0,白霜らいふ,-0.006,-16.283,0,CAT tourniquet,-20.329,-45.619,0,vovopo 보보포,-14.452,-60.692,0,Kr_Luna,18.488,-48.273,0,CVPileMaki,13.513,-64.849,0,AI,35.7,-81.8,0,_Chun,-10.92,-95.37,0,Penguin_iDOL,-37.321,-83.92,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
36,2,0,1,1,0,2,0,0,0,0,255,255,255,12,1295.135,それいゆ るな,R,0,109,-0.589,-2.259,-0.065,0.779,-37.256,1,0,0,0,0.699,-0.115,-18.069,0,4,8,R,아침땅_,160,95.405,0.5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.518,-38.305,0,白霜らいふ,0.004,-16.294,0,CAT tourniquet,-19.596,-45.979,0,vovopo 보보포,-15.468,-61.707,0,Kr_Luna,18.499,-48.279,0,CVPileMaki,13.54,-64.838,0,AI,35.7,-81.8,0,_Chun,-11.53,-96.444,0,Penguin_iDOL,-37.477,-83.76,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
37,2,0,1,1,1,2,0,0,0,0,255,255,255,13,1309.618,それいゆ るな,R,44,98,-1.649,-0.069,-0.114,1.022,-37.141,1,0,-58.885,-4.638,-43.249,0,0,0,4,8,R,아침땅_,160,95.405,0.5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47,-38.286,0,白霜らいふ,-0.037,-16.29,0,CAT tourniquet,-19.33,-44.839,0,vovopo 보보포,-15.11,-61.674,0,Kr_Luna,18.49,-48.269,0,CVPileMaki,13.525,-64.908,0,AI,35.7,-81.8,0,_Chun,-13.426,-95.87,0,Penguin_iDOL,-37.518,-83.76,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
38,2,0,1,1,2,2,0,0,0,0,255,255,255,14,1324.537,それいゆ るな,R,6,94,1.314,-0.592,-0.215,1.005,-37.165,2,0,427.273,0,-48.264,0,0,1,4,8,R,아침땅_,160,95.405,0.5,2,56,1325.829,99,14,113,76,55,255,140,125,-15.009,0.767,0.62,-0.003,-0.026,0.051,0.048,-0.217,-38.217,0,白霜らいふ,0.016,-16.313,0,CAT tourniquet,-19.908,-45.98,0,vovopo 보보포,-17.862,-62.029,0,Kr_Luna,18.494,-48.275,0,CVPileMaki,13.532,-64.895,0,AI,35.7,-81.8,0,_Chun,-13.465,-95.859,0,Penguin_iDOL,-37.371,-83.779,0,1325.558,0.23,-22.586,1328.65,7,_Chun,0.354,-95.802,1,0,0,0,0,0,0,2
