id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVOutsideDist,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,197.983,"Pugeuk",R,29,83,134,-1.286,0.634,0.388,1.59,-0.309,1.793,-36.636,24.159,59,41,0,0,-250,-184.39,29.908,0,0,0,"_송글_","にゃんこ65K","わだ、、","Pring__","SUGUN","芝レイナ","aura_5599","소솨소솨","",6,R,"_송글_",175.4,91.844,0.315,,45,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,-37.451,0.054,-17.649,-18.475,-43.274,-15.478,-63.181,23.25,-48.379,9.546,-64.112,40.9,-90.65,-8.396,-110.42,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,211.504,"Pugeuk",R,10,79,107,-1.444,-1.111,0.249,1.511,-0.636,1.564,-36.636,17.657,36,64,0,2,0,400,11.094,0,0,0,"=","=","=","=","=","=","=","=","",6,R,"_송글_",175.4,91.844,0.315,5,45,W,Y,1,212.569,124,112,77,71,33,,137,112,25.044,43.613,-0.272,0.562,-20.289,0.81,0,0.625,205.225,251.471,-36.513,216.782,-71.47,-86.565,219.115,8,-71.408,0.055,-86.162,0,0,,217.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,-37.54,0.026,-17.626,-18.513,-43.326,-16.435,-62.693,23.879,-51.511,9.56,-64.121,40.907,-90.657,-8.952,-109.188,-40.807,-90.557,-0.23,-36.852,,"Kr_Luna",0.03,-17.637,,"encounter v",-18.371,-43.184,,"柴山犬吉",-16.383,-62.415,,"MuRaZaGi",23.776,-51.332,,"CoalCat",9.575,-63.984,,"AI",40.9,-90.65,,"うよすま",-8.979,-110.484,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,45.443,45.443,20.239,0,1,0.732,40.133,25.409,37.119,0.074,0.035,52.073,0,"AI",,,,0,""
3,,1,1,0,0,0,2,0,0,0,0,255,255,255,2,235.115,"Pugeuk",R,29,85,138,1.07,0.399,0.623,1.548,0.785,1.648,-36.636,35.337,48,52,0,2,-243.457,-200,19.065,0,0,0,"=","=","=","=","=","=","=","=","",6,R,"_송글_",175.4,91.844,0.315,5,43,W,Y,1,236.069,86,134,131,0,0,,120,69,54.923,18.262,0.172,1.043,-19.849,-1,0,0.478,344.436,264.999,68.059,,,,240.568,3,-14.303,2.668,-53.99,0,0,,241.367,,,,,,,,,,,,,241.291,0,,452,0,,,,,,,,,,,,,,,,,,,0.083,-37.515,0.019,-17.535,-18.337,-43.209,-15.842,-62.893,23.625,-50.918,11.318,-64.634,40.915,-90.664,-10.166,-115.246,-40.808,-90.557,0.272,-36.625,,"Kr_Luna",0.034,-17.547,,"encounter v",-17.663,-42.436,,"柴山犬吉",-15.774,-62.773,89,"MuRaZaGi",23.216,-50.428,,"CoalCat",11.303,-64.614,,"AI",40.9,-90.65,,"うよすま",-9.92,-115.2,,"AI",-40.8,-90.55,,243.684,-0.234,-37.821,,,,,,,241.296,-14.551,-54.379,,,,,,,,,,,,,,,,,,,,,,,,,242.792,-10.557,-49.935,,,,,,,,,,,,,,,,"",1,9.484,9.484,-2.052,0,2,0.366,65.402,54.923,-2.958,0.051,0.034,69.168,0,"柴山犬吉",,,,33,""
4,,1,1,0,0,0,0,1,0,0,0,255,255,255,3,258.608,"Pugeuk",R,29,78,128,-0.02,-0.216,0.493,1.474,0.18,1.407,-36.636,40.818,53,47,0,0,-154.206,-71.977,18.005,0,0,1,"=","=","=","=","=","=","=","=","",8,R,"にゃんこ65K",190,91.242,0.6,,42,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048,-37.428,0.031,-17.529,-19.319,-44.384,-16.249,-62.994,22.798,-49.464,11.076,-65.08,40.9,-90.65,-5.5,-123.032,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,262.763,-0.194,-37.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,0,1,1,0,0,0,255,255,255,4,274.218,"Pugeuk",R,13,78,104,-1.315,-0.643,0.504,1.752,0.153,1.659,-36.636,35.179,34,66,0,0,-369.138,312.348,19.816,0,0,1,"=","=","=","=","=","=","=","=","",8,R,"にゃんこ65K",190,91.242,0.6,,42,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-37.58,0.048,-17.544,-19.2,-44.264,-16.25,-62.99,22.531,-49.823,11.09,-65.079,40.907,-90.657,-4.831,-120.382,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,278.922,0.046,-37.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,0,0,0,2,1,0,0,0,255,255,255,5,289.141,"Pugeuk",R,29,84,137,-2.493,-0.428,0.294,1.601,-0.745,1.171,-36.636,23.064,55,45,0,1,-250,-189.588,19.323,0,0,1,"=","=","=","=","=","=","=","=","",8,R,"にゃんこ65K",190,91.242,0.6,,42,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.075,-37.529,0.045,-17.538,-19.14,-44.145,-16.258,-62.995,22.86,-50.136,11.095,-65.093,40.907,-90.657,-4.577,-122.673,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,292.957,-0.377,-37.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,0,0,1,2,1,0,0,0,255,255,255,6,301.696,"Pugeuk",R,14,87,126,-0.602,-1.366,0.268,1.573,-0.87,1.081,-36.636,20.848,51,49,0,2,390.434,312.348,27.09,0,0,1,"=","=","=","=","=","=","=","=","",8,R,"にゃんこ65K",190,91.242,0.6,0,42,W,Y,1,302.831,190,83,141,98,24,,145,133,-8.709,1.827,-0.099,0.408,-19.736,0.42,0,0.141,-119.987,172.078,-22.531,302.142,-0.178,-22.155,306.008,7,-1.852,0.058,-107.951,1,0,,308.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.214,5,,,,,-0.072,-37.404,0.028,-17.532,-19.291,-44.373,-16.155,-63.027,23.15,-49.995,11.079,-65.109,40.907,-90.657,-6.128,-118.356,-40.406,-88.281,0.436,-36.908,,"Kr_Luna",0.037,-17.539,,"encounter v",-19.124,-44.158,,"柴山犬吉",-15.926,-62.975,,"MuRaZaGi",23.014,-49.863,,"CoalCat",10.924,-64.974,82,"AI",40.9,-90.65,,"うよすま",-6.307,-118.436,115,"ddil_ddil69",-43.012,-92.763,,313.613,0.093,-38.97,,,,,,,,,,,,,309.258,1.37,-60.058,,,,306.699,-2.046,-108.929,,,,,,,,,,,,,,,,,,,312.434,0.198,-58.105,,,,307.387,-1.852,-104.351,,,,"",2,,,,,,,,,,,,,0,"うよすま",,,,11,""
8,,1,1,0,0,0,0,1,1,0,0,8,255,255,7,327.629,"Pugeuk",R,29,84,136,-1.019,0.292,0.404,1.561,-0.235,1.688,-36.636,27.656,59,41,0,2,-180.115,-121.672,14.303,0,0,2,"=","=","=","=","=","=","=","=","",1,L,"わだ、、",189.8,85,0.497,5,53,W,Y,1,328.723,234,39,122,52,17,,145,102,44.088,-67.091,-0.238,1.079,-19.4,-0.39,0,0.392,393.244,-41.21,433.971,,,,,,,,,0,0,,,,,,,,,,,,345.128,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,-37.602,0.026,-17.529,-18.264,-39.375,-10.235,-59.566,24.89,-50.713,14.447,-61.879,40.9,-90.65,13.929,-124.108,-46.503,-94.17,0.246,-36.999,,"Kr_Luna",0.024,-17.539,,"encounter v",-16.317,-41.948,,"柴山犬吉",-10.137,-59.516,,"MuRaZaGi",24.924,-50.71,,"CoalCat",14.11,-61.96,,"AI",40.9,-90.65,,"うよすま",13.772,-124.112,,"ddil_ddil69",-46.516,-94.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,-102.929,-64.4,-20.4,1,0,1,44.088,44.088,60.452,0,0,-110.645,0,"",,,,0,""
9,,1,1,0,0,0,1,1,1,0,0,8,255,255,8,345.254,"Pugeuk",R,6,80,105,1.041,0.105,0.294,1.765,-0.497,1.685,-36.636,18.318,92,8,0,2,477.273,0,6.797,0,0,2,"=","=","=","=","=","=","=","=","",1,L,"わだ、、",189.8,85,0.497,5,53,W,Y,1,346.467,255,42,156,78,35,,145,109,25.647,-5.005,0.191,1.065,-20.488,0.92,0,0.579,402.181,-150.113,-172.25,,,,350.835,7,11.779,2.824,-111.513,0,0,,352.405,,,,,,,,,,368.36,,,351.627,2,,456,0,,,,,,,,,,,,,,,,,,,0.142,-37.555,0.031,-17.532,-17.898,-39.338,-9.406,-60.657,23.832,-50.106,14.38,-62.158,40.915,-90.664,11.858,-124.172,-46.864,-94.944,0.408,-36.96,,"Kr_Luna",0.033,-17.532,,"encounter v",-15.696,-41.853,,"柴山犬吉",-9.297,-60.668,86,"MuRaZaGi",23.719,-49.993,,"CoalCat",14.387,-62.022,,"AI",40.9,-90.65,,"うよすま",11.822,-124.17,115,"ddil_ddil69",-46.845,-94.925,,358.427,0.548,-39.124,,,,,,,354.992,1.219,-59.42,,,,,,,,,,351.638,11.931,-112.549,,,,,,,,,,,,,357.321,0.389,-58.524,,,,,,,,,,353.001,11.425,-106.718,,,,"",1,-6.894,-6.894,-15.074,0,1,0.769,48.849,32.813,-1.712,0.074,0.056,13.124,0,"うよすま",,,,41,""
10,,1,1,0,0,0,0,2,1,0,0,8,255,255,9,369.468,"Pugeuk",R,29,83,135,-1.29,0.68,0.398,1.592,-0.264,1.803,-36.636,22.793,50,50,0,2,-250,-200,16.653,0,0,3,"=","=","=","=","=","=","=","=","",5,L,"Pring__",174.6,91.125,0.451,5,40,W,Y,1,370.421,160,156,90,100,74,,145,84,49.982,-48.913,-0.222,1.177,-20.755,-1,0,0.537,525.077,-45.884,199.95,,,,375.235,4,40.583,3.517,-53.373,0,0,,,,,,376.083,,,,,,,,,376.11,3,,453,0,,,,,,,,,,,,,,,,,,,0.028,-37.5,0.025,-17.539,-19.096,-42.414,-11.301,-64.505,23.718,-51.482,13.79,-62.271,40.9,-90.65,8.832,-123.291,-43.916,-93.133,0.359,-36.98,,"Kr_Luna",0.025,-17.554,,"encounter v",-17.723,-43.58,,"柴山犬吉",-11.222,-64.438,,"MuRaZaGi",23.507,-51.111,92,"CoalCat",13.744,-62.13,,"AI",40.9,-90.65,,"うよすま",7.9,-123.184,,"ddil_ddil69",-43.895,-93.132,,,,,,,,,,,,,,376.12,40.826,-53.596,,,,,,,,,,,,,,,,,,,,,,,,,378.592,35.396,-56.491,,,,,,,,,,,,,"",1,-60.391,-38.093,5.907,0.645,0,1,49.982,49.982,44.059,0,0,-70.229,0,"MuRaZaGi",376.083,,,16,""
11,SIDE,1,1,0,0,0,0,2,1,0,0,8,255,255,,379.195,,,,,,,,,,,,,,,,,,,,,,,4,"=","=","=","=","=","=","=","=","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
12,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,469.604,"소솨소솨",R,33,87,140,1.828,1.202,0.339,1.799,0.647,2.175,-36.539,19.374,55,45,0,1,103.478,-98.653,0,0,0,0,"CoalCat","encounter v","うよすま","MuRaZaGi","Kr_Luna","柴山犬吉","ddil_ddil69","Pugeuk","",5,R,"CoalCat",169.5,83,0.397,,38,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,-37.335,-0.06,-17.803,-19.75,-46.252,-15.261,-63.02,22.783,-51.218,12.117,-64.064,38.84,-90.105,0,-109.86,-47.682,-88.476,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
13,,1,0,0,0,1,0,0,0,0,0,255,255,255,1,480.516,"소솨소솨",R,28,80,131,1.176,0.903,0.281,1.751,0.376,2.002,-36.539,14.586,48,52,0,2,87.19,-95.938,0,0,0,0,"=","=","=","=","=","=","=","=","",5,R,"CoalCat",169.5,83,0.397,5,38,W,Y,1,481.734,193,105,126,95,53,,145,82,60.135,50.75,0.203,1.215,-20.573,-1,0,0.364,531.825,-66.214,-208.475,486.528,-32.544,-45.385,486.688,2,-31.668,2.854,-44.628,0,0,,486.911,,,,,,,,,,,,,487.776,0,,451,0,,,,,,,,,,,,,,,,,,,0.023,-37.267,-0.058,-17.786,-19.864,-46.351,-15.233,-63.038,19.855,-49.871,12.075,-64.063,38.615,-89.797,0,-109.85,-49.033,-91.156,0.214,-37.571,,"わだ、、",-0.055,-17.795,,"SUGUN",-19.734,-46.161,97,"芝レイナ",-15.269,-63.037,,"aura_5599",19.855,-49.867,,"Pring__",12.002,-63.816,,"_송글_",38.614,-89.767,,"AI",0,-109.84,,"にゃんこ65K",-49.119,-91.08,,490.852,-0.478,-38.163,,,,487.786,-32.032,-44.698,,,,,,,,,,,,,,,,,,,,,,,,,489.354,-30.105,-44.465,,,,,,,,,,,,,,,,,,,"",1,145.322,50.67,7.214,1,1,0.955,60.135,60.135,-5.258,0,0,173.951,0,"SUGUN",,,,144,""
14,,1,0,0,0,0,0,1,0,0,0,255,255,255,2,506.742,"소솨소솨",R,33,81,132,-1.075,0.566,0.071,1.727,-0.599,1.888,-36.539,8.072,48,52,0,2,102.51,-81.055,0,0,0,1,"=","=","=","=","=","=","=","=","",2,L,"encounter v",190,83.037,0.46,3,38,W,Y,1,508.013,211,60,108,67,26,,145,87,-3.459,-23.969,-0.207,1.192,-19.65,-1,0,0.262,-192.434,254.271,-391.613,507.355,4.016,-29.379,509.248,5,17.23,0.055,-56.189,0,0,,513.603,,,,,,,,,,,,,513.314,1,,147,8,,,,,,,,,,,,,,,,,,,-0.028,-37.398,-0.029,-17.788,-19.422,-45.771,-13.677,-64.249,21.493,-49.219,14.144,-64.092,38.884,-88.975,0,-109.87,-42.626,-100.071,-0.135,-37.595,,"わだ、、",-0.032,-17.788,,"SUGUN",-19.43,-45.689,85,"芝レイナ",-13.641,-64.234,,"aura_5599",21.381,-49.079,,"Pring__",14.039,-63.83,107,"_송글_",38.958,-88.92,,"AI",0,-109.84,,"にゃんこ65K",-45.219,-98.879,,514.975,-0.023,-39.176,,,,512.694,-17.893,-40.389,,,,,,,510.398,17.193,-56.912,,,,,,,,,,,,,,,,513.905,-17.228,-40.314,,,,,,,511.096,13.842,-54.9,,,,,,,,,,"",2,,,,,,,,,,,,,0,"Pring__",,,,152,""
15,,1,0,0,0,0,0,2,0,0,0,255,255,255,3,531.126,"소솨소솨",R,34,86,140,-0.854,-0.593,0.1,1.524,-0.464,1.195,-36.539,8.173,38,62,0,2,76.035,-70.074,0,0,0,2,"=","=","=","=","=","=","=","=","",7,R,"うよすま",175.4,85.375,0.502,3,38,W,Y,1,532.233,243,124,167,86,9,,145,93,-15.713,27.559,-0.174,0.648,-19.033,-0.41,0,0.446,-38.958,-156.783,0.466,531.115,-1.202,-21.009,532.848,2,-13.634,0.054,-45.627,0,0,,,,,,,,,,,,,,,536.393,2,,147,0,,,,,,,,,,,535.79,2,,,,,,,-0.041,-37.361,-0.025,-17.773,-19.262,-45.256,-15.17,-62.792,19.757,-48.928,9.744,-65.118,37.661,-86.18,0,-109.87,-48.382,-88.502,0.003,-37.559,,"わだ、、",-0.041,-17.806,,"SUGUN",-19.053,-45.64,97,"芝レイナ",-15.163,-62.814,,"aura_5599",19.742,-48.911,,"Pring__",9.658,-64.908,,"_송글_",37.6,-86.232,,"AI",0,-109.84,,"にゃんこ65K",-48.196,-88.341,,,,,,,,533.971,-14.665,-46.115,,,,,,,,,,,,,,,,,,,,,,,,,537.044,-17.186,-39.462,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"SUGUN",,,,16,""
16,SIDE,1,0,0,0,0,0,2,0,0,0,255,255,255,,537.067,,,,,,,,,,,,,,,,,,,,,,,3,"=","=","=","=","=","=","=","=","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
17,,2,1,0,0,0,0,0,0,0,0,255,255,255,10,581.775,"Pugeuk",R,29,82,134,-0.782,0.353,0.439,1.747,-0.071,1.645,-36.636,25.479,92,8,0,2,-250,-200,25.508,0,0,4,"_송글_","にゃんこ65K","わだ、、","Pring__","SUGUN","芝レイナ","aura_5599","소솨소솨","HANA_ARASHI",2,R,"SUGUN",190,82,0.5,5,38,W,Y,1,583.086,251,112,180,115,15,,145,117,27.174,-55.274,-0.133,1.168,-20.656,0.82,0,0.296,399.868,197.189,374.989,587.355,85.352,-84.775,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,-37.514,0.008,-17.687,-18.387,-43.756,-16.507,-62.769,23.97,-52.575,12.061,-63.057,40.907,-90.657,-6.996,-122.886,-43.615,-92.687,0.307,-36.674,,"Kr_Luna",0.037,-17.644,,"encounter v",-18.286,-43.694,,"柴山犬吉",-16.421,-62.641,,"MuRaZaGi",23.778,-52.33,,"CoalCat",12.055,-62.91,,"AI",40.9,-90.65,,"うよすま",-7.006,-122.894,,"ddil_ddil69",-43.668,-92.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,-136.284,-52.374,-8.374,1,0,1,46.261,46.261,82.099,0,0,-145.223,0,"",,,,0,""
18,,2,1,0,0,0,1,0,0,0,0,255,255,255,11,599.669,"Pugeuk",R,29,89,140,2.103,-0.247,0.72,1.437,1.235,1.288,-36.636,36.492,55,45,0,1,-250,-200,9.657,0,0,4,"=","=","=","=","=","=","=","HANA_ARASHI","소솨소솨",2,R,"SUGUN",190,82,0.5,,38,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202,-37.474,-0.008,-17.624,-18.824,-43.522,-16.255,-62.664,23.881,-50.164,13.588,-63.678,40.9,-90.65,-6.243,-121.406,-44.28,-92.705,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
19,,2,1,0,0,1,1,0,0,0,0,255,255,255,12,613.905,"Pugeuk",R,13,74,112,2.357,1.482,0.806,1.916,1.635,2.84,-36.636,52.353,85,15,0,1,-417.219,275.551,73.917,-0.9,-11.585,4,"=","=","=","=","=","=","=","=","=",2,R,"SUGUN",190,82,0.5,,38,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,-37.554,0.06,-17.656,-17.389,-42.377,-16.053,-63.011,24.05,-50.521,13.592,-63.673,40.9,-90.65,-6.071,-119.95,-44.233,-92.727,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
20,,2,1,0,0,2,1,0,0,0,0,255,255,255,13,632.028,"Pugeuk",R,3,72,112,-0.218,0.953,0.652,1.742,0.794,2.218,-36.636,44.088,90,10,0,0,-500,0,21.426,0,0,4,"=","=","=","=","=","=","=","=","=",2,R,"SUGUN",190,82,0.5,,38,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164,-37.554,0.011,-17.636,-17.532,-42.523,-15.955,-62.972,24.155,-51.324,13.6,-63.673,40.915,-90.664,-7.098,-119.86,-44.479,-92.556,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
21,,2,1,0,0,2,2,0,0,0,0,255,255,255,14,647.835,"Pugeuk",R,3,69,97,-1.436,0.301,0.56,1.63,0.327,1.827,-36.636,43.256,42,58,0,2,-440.909,0,10.062,0,0,4,"=","=","=","=","=","=","=","=","=",2,R,"SUGUN",190,82,0.5,5,38,W,Y,1,649.136,192,155,124,86,27,,145,89,-15.002,-50.809,-0.242,1.156,-20.671,1,0,0.503,53.318,-100.604,-4.726,648.022,2.821,-23.163,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,-37.403,0.007,-17.671,-17.452,-42.425,-16.148,-63.012,24.402,-51.688,13.618,-63.64,40.915,-90.664,-7.409,-119.328,-44.522,-92.961,-0.402,-37.314,,"Kr_Luna",0.011,-17.664,,"encounter v",-17.437,-42.422,,"柴山犬吉",-16.108,-62.761,,"MuRaZaGi",24.245,-51.566,,"CoalCat",13.599,-63.53,,"AI",40.9,-90.65,,"うよすま",-7.412,-119.324,,"ddil_ddil69",-44.556,-92.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,-45.362,-45.362,-12.358,0,1,0.541,-24.949,-15.811,-7.423,0.062,0.023,164.729,0,"",,,,0,""
22,,2,1,0,0,2,2,0,0,0,0,255,255,255,15,665.782,"Pugeuk",R,6,77,104,-0.273,-0.543,0.223,1.578,-0.993,1.283,-36.636,16.337,59,41,0,2,433.647,0,19.057,0,0,4,"=","=","=","=","=","=","=","=","=",2,R,"SUGUN",190,82,0.5,5,37,W,Y,1,666.941,172,216,97,134,81,,145,131,25.102,-66.534,-0.033,0.921,-21.283,0.67,0,0.593,118.576,514.645,284.745,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.057,-37.387,0.001,-17.557,-18.694,-43.276,-16.475,-62.708,24.905,-49.88,13.39,-64.679,40.907,-90.657,-5.859,-119.004,-43.746,-91.527,0.367,-36.817,,"Kr_Luna",-0.017,-17.578,,"encounter v",-18.473,-43.135,,"柴山犬吉",-16.314,-62.473,,"MuRaZaGi",24.957,-49.528,,"CoalCat",13.662,-64.309,,"AI",40.9,-90.65,,"うよすま",-5.881,-119.002,,"ddil_ddil69",-43.825,-91.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,-141.655,-67.577,-23.577,1,0,1,26.346,26.346,55.202,0,0,-151.655,0,"",,,,0,""
