id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,5,1,1,6,1,0,0,0,0,0,255,255,255,46,3215.019,_Chun,L,0,95,2.028,-0.427,1,-6.34,-147.138,0.851,-17.251,0,6,3,L,encounter v,179.5,100.135,0.454,91,0,0,0,0,0,0,0,0,0,0,0,0,0.129,-38.167,0.282,-16.593,-19.506,-44.893,-13.205,-64.851,23.941,-49.814,15.03,-63.428,46.239,-86.83,-0.224,-107.454,-45.983,-83.597,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,5,1,1,6,1,0,0,0,0,0,255,255,255,47,3234.597,_Chun,L,0,130,2.286,0.495,2,192.637,-43.51,0,0,1,6,3,L,encounter v,179.5,100.135,0.454,89,3235.673,114,125,13,135,126,6.205,12.471,0.54,0.163,-0.116,0.413,0.216,-37.13,0.279,-17.331,-20.138,-44.397,-12.691,-65.128,23.734,-50.037,15.148,-63.302,44.611,-87.057,0.71,-108.687,-44.885,-85.024,3237.124,-6.373,-66.335,3242.78,7,Yaksok~,-13.293,-123.718,1,0,0,0,0,0,0,2
3,5,1,1,6,0,0,0,0,1,0,255,7,255,48,3272.54,_Chun,L,6,118,1.536,0.376,2,-427.716,0,0,0,1,7,0,L,NABIMan,190,99,0.55,89,3273.541,128,108,52,137,105,39.398,-27.633,0.11,-0.002,-0.171,0.36,0.536,-37.056,0.026,-17.303,-20.88,-46.708,0.042,-59.293,22.151,-45.678,14.765,-60.144,45.514,-89.211,-0.515,-113.061,-44.529,-87.275,3279.102,49.788,-90.234,3279.58,6,schmoneymikey,48.572,-88.641,0,0,0,0,0,0,0,1
4,5,1,1,6,0,0,1,0,0,1,255,255,3,49,3309.255,_Chun,L,0,136,0.749,0.416,2,-62.465,-61.076,0,0,1,0,4,R,magimari,190,90,0.502,90,3310.302,130,82,32,135,84,46.616,-39.704,-0.5,-0.054,-0.083,0.191,0.417,-36.823,-0.061,-17.406,-20.535,-45.678,-12.983,-65.191,19.231,-43.68,11.147,-57.431,49.085,-92.226,0.086,-107.336,-45.6,-85.621,3314.891,35.942,-72.682,3315.613,6,schmoneymikey,36.915,-74.181,1,0,0,0,0,0,0,2
5,5,1,2,6,0,0,1,1,0,0,4,255,255,50,3344.382,_Chun,L,0,135,-0.907,1.603,4,-71.215,-63.575,0,0,1,1,2,R,Roslynn,190,107,0.719,90,0,0,0,0,0,0,0,0,0,0,0,0,0.242,-37.731,-0.137,-16.799,-19.58,-41.56,-12.756,-65.013,21.212,-46.335,9.156,-62.902,47.272,-90.193,0.032,-110.401,-44.579,-87.097,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,5,1,2,6,0,1,1,1,0,0,4,255,255,51,3384.969,_Chun,L,6,122,1.601,-0.28,1,-388.691,0,-1.032,-10.681,0,1,2,R,Roslynn,190,107,0.719,61,0,0,0,0,0,0,0,0,0,0,0,0,0.243,-37.925,0.288,-15.984,-20.059,-41.932,-12.781,-64.951,21.196,-46.337,8.253,-62.141,50.799,-93.272,0.02,-110.42,-47.437,-84.835,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,5,1,2,6,1,1,1,1,0,0,4,255,255,52,3402.511,_Chun,L,14,114,1.173,0.879,2,-222.802,400,0,0,1,1,2,R,Roslynn,190,107,0.719,61,3403.619,151,88,22,136,123,-81.572,42.139,0.26,0.038,-0.056,0.054,0.326,-36.921,0.028,-17.459,-18.85,-44.685,-12.913,-65.062,21.203,-46.335,9.492,-63.516,52.209,-93.8,-0.172,-110.456,-47.751,-85.204,3403.724,0.032,-19.115,3404.035,1,소솨소솨,0.216,-20.363,0,0,0,0,0,0,0,2
8,5,1,2,6,1,2,1,1,0,0,4,255,255,53,3421.494,_Chun,L,6,118,-3.608,1.333,2,-396.503,0,0,0,1,1,2,R,Roslynn,190,107,0.719,90,3422.526,187,71,0,130,125,99.587,-71.857,0.36,-0.046,-0.141,0.302,0.198,-37.206,-0.515,-17.252,-19.714,-45.072,-12.763,-64.795,21.908,-46.291,9.189,-64.087,53.275,-94.851,0.216,-111.905,-48.073,-84.871,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,5,1,2,6,1,2,1,1,0,0,4,255,255,54,3443.713,_Chun,L,0,130,-0.319,-2.163,4,-59.439,-69.768,0,0,1,1,2,R,Roslynn,190,107,0.719,90,0,0,0,0,0,0,0,0,0,0,0,0,0.288,-37.658,0.037,-17.649,-19.518,-41.628,-13.217,-64.936,21.888,-46.346,10.673,-63.736,47.175,-87.326,0.198,-112.216,-45.543,-85.999,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,0
10,5,1,2,6,0,0,2,1,0,0,4,255,255,55,3474.677,_Chun,L,0,103,0.491,-0.038,2,-5.599,-46.308,0,0,1,2,6,R,Eaglebuter,169.5,95,0.5,89,3475.63,199,113,23,143,124,43.771,19.27,0.6,-0.057,-0.083,0.581,0.403,-36.904,0.015,-17.315,-19.952,-43.848,-12.435,-65.064,21.779,-46.296,7.868,-64.556,49.809,-89.267,-0.975,-111.495,-45.253,-82.148,3481.824,-28.958,-120.156,3484.202,7,Yaksok~,-25.065,-124.274,1,0,0,0,0,0,0,2
11,5,1,2,6,0,0,2,0,1,1,255,7,4,56,3513.181,_Chun,L,6,111,1.195,0.492,0,-500,0,0,0,0,3,8,R,Saƅer,190,95.294,0.498,89,0,0,0,0,0,0,0,0,0,0,0,0,0.171,-37.731,0.059,-17.26,-19.863,-45.319,-12.878,-64.911,20.657,-45.555,11.822,-62.444,46.532,-85.682,0.612,-115.543,-43.607,-83.366,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
12,5,1,2,6,0,1,2,0,1,1,255,7,4,57,3533.24,_Chun,L,0,126,1.541,-0.72,1,189.407,-36.325,0,0,0,3,8,R,Saƅer,190,95.294,0.498,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.039,-37.5,0.263,-16.878,-20.295,-45.623,-12.861,-64.935,20.606,-42.373,11.488,-63.251,47.647,-86.901,0.665,-115.525,-44.747,-85.176,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
13,5,1,2,6,1,1,2,0,1,1,255,7,4,58,3553.13,_Chun,L,6,114,-2.749,0.021,4,-500,0,0,0,1,3,8,R,Saƅer,190,95.294,0.498,45,0,0,0,0,0,0,0,0,0,0,0,0,0.067,-37.525,-0.224,-16.972,-21.215,-45.279,-12.843,-64.898,20.892,-43.703,10.516,-61.403,48.718,-87.955,0.698,-115.521,-44.27,-86.797,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
14,5,1,2,6,1,2,2,0,1,1,255,7,4,59,3589.591,_Chun,L,0,139,1.124,-2.122,1,-53.209,-71.163,0.209,-19.076,0,3,8,R,Saƅer,190,95.294,0.498,45,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,-37.653,0.083,-17.065,-19.767,-44.236,-12.783,-64.44,19.507,-43.486,11.96,-62.482,50.053,-89.376,0.103,-116.39,-44.819,-86.925,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
15,5,1,2,6,2,2,2,0,1,1,255,7,4,60,3607.063,_Chun,L,10,91,0.615,0.596,2,0,400,0,0,1,3,8,R,Saƅer,190,95.294,0.498,45,3608.088,155,123,36,142,89,31.859,-23.054,-0.44,0.101,-0.136,0.021,0.277,-36.987,0.008,-16.899,-19.918,-45.358,-13.003,-64.599,19.511,-39.847,9.103,-59.826,50.355,-88.517,-0.13,-114.424,-45.167,-86.383,3612.902,35.412,-82.93,3613.402,6,schmoneymikey,34.143,-80.834,0,0,0,0,0,0,0,1
16,5,0,2,6,0,0,0,0,0,0,255,255,255,56,3644.188,NABIMan,R,0,138,-1.728,-1.485,1,0,0,-0.366,-17.244,0,0,5,R,sano jpn,170.3,95.023,0.326,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.321,-37.887,0.015,-17.046,-19.467,-52.663,-12.108,-63.92,22.178,-48.093,10.941,-65.489,37.2,-85.91,0,-100.6,-42.059,-81.499,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
17,5,0,2,6,1,0,0,0,0,0,255,255,255,57,3656.251,NABIMan,R,3,102,-0.5,0.478,0,-373.705,0,0,0,1,0,5,R,sano jpn,170.3,95.023,0.326,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,-37.845,0.001,-17.293,-19.839,-52.247,-12.521,-63.981,21.857,-47.796,10.93,-65.43,37.035,-86.046,0,-100.6,-40.966,-83.056,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
18,5,0,2,6,1,1,0,0,0,0,255,255,255,58,3666.725,NABIMan,R,1,87,0.979,0.107,2,0,0,0,0,1,0,5,R,sano jpn,170.3,95.023,0.326,89,3668.023,172,67,38,135,87,21.078,41.504,0.04,-0.042,-0.017,0.164,-0.552,-37.135,0.035,-17.287,-19.818,-52.181,-12.424,-63.929,22.523,-48.283,10.898,-65.359,37.164,-85.942,0,-100.6,-40.951,-83.033,3671.224,-37.644,-66.8,3672.391,8,Saƅer,-41.677,-72.047,1,0,0,0,0,0,0,2
19,5,0,2,6,0,0,0,1,0,0,14,255,255,59,3690.247,NABIMan,R,0,136,0.6,-0.617,2,173.705,-104.534,0,0,1,1,7,R,Yaksok~,165.6,93.281,0.397,89,3690.97,204,172,36,150,86,-7.807,-10.294,-0.09,-0.118,-0.188,0.346,-0.629,-36.763,0.042,-17.23,-19.664,-40.716,-14.615,-63.183,21.994,-49.516,1.474,-59.85,40.373,-89.852,0,-100.61,-38.112,-81.578,3695.591,11.793,-90.409,3698.702,3,encounter v,0.717,-61.13,1,1,0,0,0,0,0,0
20,5,0,2,6,0,0,1,1,0,0,16,255,255,60,3736.33,NABIMan,R,0,124,2.278,0.106,4,102.609,-69.663,0,0,1,2,0,L,Pring__,180.4,90.045,0.475,84,0,0,0,0,0,0,0,0,0,0,0,0,-0.281,-37.482,0.022,-17.405,-19.297,-40.707,-6.47,-63.375,22.536,-45.461,13.975,-60.329,39.788,-88.236,0,-100.6,-39.883,-77.022,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
